한글,영어,일어
쌍동 기화기,duplex carburettor,
쌍두 밀링머신,duplex head milling machine,
복식 인젝터,duplex injector,
복식 노즐,duplex nozzle,
복식 펌프,duplex pump,
"내구도, 내구한도",durability,
듀랄루민,duralumin,ジュラルミン(ジュラルミン)
듀로미터,durometer,
"더스트, 먼지, 매진",dust,塵あい(ジンアイ)
집진기,dust catcher,
미분탄,dust coal,
집진기,dust collector,
제진기,dust separator,
"더스터, 집진기",duster,散粉機(サンプンキ)
사용률,duty cycle,
동적 평형,dynamic balance,
동적 균형,dynamic balancing,
동적 균형 시험,dynamic balancing test,
동적 균형 시험기,dynamic balancing tester,
발전 제동,dynamic brake,
다이내믹 브레이크,dynamic brake,
발전 제동,dynamic brake,
다이내믹 브레이크,dynamic brake,
동적 특성,dynamic characteristics,
동적 댐퍼,dynamic damper,
다이내믹 댐퍼,dynamic damper,
동적 댐퍼,dynamic damper,
다이내믹 댐퍼,dynamic damper,
동적 양력,dynamic lift,
동하중,dynamic load,
활하중,dynamic load,
동하중,dynamic load,
활하중,dynamic load,
동압,dynamic pressure,
동적 프로그래밍,dynamic programming,
"동적 안정, 동적 안정성",dynamic stability,
동응력,dynamic stress,
동적 시험,dynamic test,
다이내믹스,dynamics,
역학,dynamics,
다이내믹스,dynamics,
역학,dynamics,
다이너마이트,dynamite,ダイナマイト(ダイナマイト)
발전기,dynamo,
다이너모유,dynamo oil,
다이나모미터,dynamometer,
동력계,dynamometer,
다이나모미터,dynamometer,
동력계,dynamometer,
동력 시험차,dynamometer car,試?車(シケンシャ)
다인,dyne,
이어폰,earphone,イヤホン(イヤホン)
어스,earth,
접지,earth,
어스,earth,
접지,earth,
접지판,earth plate,
에보나이트,ebonite,エボナイト(エボナイト)
경질 고무,ebonite,エボナイト(エボナイト)
에보나이트,ebonite,エボナイト(エボナイト)
경질 고무,ebonite,エボナイト(エボナイト)
익센트릭,eccentric,
편심,eccentric,
편심기,eccentric,
익센트릭,eccentric,
편심,eccentric,
편심기,eccentric,
익센트릭,eccentric,
편심,eccentric,
편심기,eccentric,
편심 부싱,eccentric bushing,
편심판,eccentric disc,
편심 하중,eccentric load,偏心荷重(ヘンシンカジュウ)
익센트릭 프레스,eccentric press,
편심 프레스,eccentric press,
익센트릭 프레스,eccentric press,
편심 프레스,eccentric press,
편심륜,eccentric ring set,
편심봉,eccentric rod,
편심,eccentricity,偏心(ヘンシン)
"편심, 편심 거리, 편심률, 편심도",eccentricity,偏心(ヘンシン)
편심,eccentricity,
"편심, 편심 거리, 편심률, 편심도",eccentricity,
"편심률, 편심비",eccentricity ratio,
반향,echo,エコ?(エコ?)
에코,echo,エコ?(エコ?)
반향,echo,エコ?(エコ?)
에코,echo,エコ?(エコ?)
음향 측심기,echo sounder,
측심기,echo sounder,
음향 측심기,echo sounder,
측심기,echo sounder,
이코노마이저,economizer,エコノマイザ(エコノマイザ)
절탄기,economizer,エコノマイザ(エコノマイザ)
이코노마이저,economizer,エコノマイザ(エコノマイザ)
절탄기,economizer,エコノマイザ(エコノマイザ)
와류,eddy,
맴돌이 전류,eddy current,渦電流(ウズデンリュウ)
에디 커런트 브레이크,eddy current brake,
와전류 브레이크,eddy current brake,
에디 커런트 브레이크,eddy current brake,
와전류 브레이크,eddy current brake,
와류 탐상 검사,eddy current test,
맴돌이 확산 계수,eddy diffusivity,
에디 확산율,eddy diffusivity,
맴돌이 확산 계수,eddy diffusivity,
에디 확산율,eddy diffusivity,
와류 점성,eddy viscosity,
절삭날,edge,
가장자리,edge,
절삭날,edge,
가장자리,edge,
측면 캠,edge cam,
주변 조건,edge condition,
측면날 줄,edge file,
칼날 줄,edge file,
측면날 줄,edge file,
칼날 줄,edge file,
에지 포머,edge former,
곧은결,edge grain,
에지 그레인,edge grain,
곧은결,edge grain,
에지 그레인,edge grain,
가장자리 이음,edge joint,
끝 이음,edge joint,
가장자리 이음,edge joint,
끝 이음,edge joint,
에지 플레이너,edge planer,
모서리 가공,edge preparation,
에지 러너 밀,edge runner mill,
에지 스트레치,edge stretch,
에디슨 전지,Edison battery,
에디슨 효과,Edison effect,
유효 지름,effective diameter,
유효 효율,effective efficiency,
유효 전력,effective electric power,
유효 낙차,effective head,
유효 수두,effective head,
유효 낙차,effective head,
유효 수두,effective head,
유효 동력,effective horsepower,
유효 마력,effective horsepower,
유효 동력,effective horsepower,
유효 마력,effective horsepower,
유효 용접 길이,effective length of weld,
유효 동력,effective power,有?電力(ユウコウデンリョク)
유효 압력,effective pressure,
유효 단면적,effective sectional area,
유효 행정,effective stroke,
유효 장력,effective tension,
유효 열효율,effective thermal efficiency,
유효 목 두께,effective throat thickness,
유효값,effective value,??値(ジッコウチ)
실효값,effective value,??値(ジッコウチ)
유효값,effective value,??値(ジッコウチ)
실효값,effective value,??値(ジッコウチ)
유효일,effective work,
림드 강,effervesced steel,
효율,efficiency,?率(コウリツ【efficiency】)
효율 곡선,efficiency curve,
보일러 효율,efficiency of boiler,
효율 시험,efficiency test,
유출각,efflux angle,
삼출 냉각,effusion cooling,
에르하르트법,Ehrhardt method,
에르하르트법,Ehrhardt process,
18-8스테인리스강,eighteen Cr-eight Ni stainless steel,
밀어내기,ejector,エゼクタ(エゼクタ)
이젝터,ejector,エゼクタ(エゼクタ)
밀어내기,ejector,エゼクタ(エゼクタ)
이젝터,ejector,エゼクタ(エゼクタ)
이젝터 복수기,ejector condenser,
압출 핀,ejector pin,
탄성 후유 효과,elastic after effect,
타성 여효,elastic after-effect,
탄성축,elastic axis,
일래스틱 결합제,elastic bond,
탄성 결합체,elastic bond,
일래스틱 결합제,elastic bond,
탄성 결합체,elastic bond,
탄성 파손,elastic break-down,
탄성 충돌,elastic collision,
탄성 상수,elastic constant,
탄성 축이음,elastic coupling,?性?手(ダンセイツギテ)
탄성 곡선,elastic curve,
휨 곡선,elastic curve,
탄성 곡선,elastic curve,
휨 곡선,elastic curve,
탄성 변형,elastic deformation,?性?形(ダンセイヘンケイ)
탄성 에너지,elastic energy,
탄성 파손,elastic failure,
탄성 경도,elastic hardness,
탄성 이력,elastic hysteresis,
탄성 히스테리시스,elastic hysteresis,
탄성 이력,elastic hysteresis,
탄성 히스테리시스,elastic hysteresis,
탄성 한계,elastic limit,?性限度(ダンセイゲンド)
탄성 한도,elastic limit,?性限度(ダンセイゲンド)
탄성 한계,elastic limit,?性限度(ダンセイゲンド)
탄성 한도,elastic limit,?性限度(ダンセイゲンド)
탄성 계수,elastic modulus,
탄성 포텐셜,elastic potential,
탄성 영역,elastic region,
탄성역,elastic region,
탄성 영역,elastic region,
탄성역,elastic region,
탄성 변형률,elastic strain,
탄성 변형 에너지,elastic strain energy,
탄성 에너지,elastic strain energy,
탄성 변형 에너지,elastic strain energy,
탄성 에너지,elastic strain energy,
탄성 지점,elastic support,
탄성 곡면,elastic surface,
일래스티카,elastica,
탄성,elasticity,
탄성 중합체,elastomer,
일래스토머,elastomer,
탄성 중합체,elastomer,
일래스토머,elastomer,
일래스토머릭 베어링,elastomeric bearing,
엘보,elbow,
일렉트릿,electret,エレクトレット(エレクトレット)
아크로,electric arc furnace,
아크 용접,electric arc welding,
전기 보일러,electric boiler,電?ボイラ(デンキボイラ)
전기 제동기,electric brake,
전기 브레이크,electric brake,
전기 제동기,electric brake,
전기 브레이크,electric brake,
전기 경랍땜,electric brazing,
전기 뇌관,electric cap,
전기 체인 호이스트,electric chain hoist,
전기 동력계,electric cradle dynamometer,
전기 크레인,electric crane,
전류,electric current,電流(デンリュウ)
방전 성형법,electric discharge forming process,
전기 드릴,electric drill,
전기 동력계,electric dynamometer,
전력량,electric energy,
자동 조리개,electric eye,
전계,electric field,電場(デンバ)
전장,electric field,電場(デンバ)
전계,electric field,電場(デンバ)
전장,electric field,電場(デンバ)
전기로,electric furnace,電??(デンキロ)
전기 그라인더,electric grinder,
"전열기, 전기 난방기",electric heater,
전기 가열,electric heating,電?加熱(デンキカネツ)
전기 호이스트,electric hoist,電?ホイスト(デンキホイスト)
전기 혼,electric horn,
전기 점화,electric ignition,
전기식 인디케이터,electric indicator,
전구,electric lamp,電球(デンキュウ)
전기 기관차,electric locomotive,電?機?車(デンキキカンシャ)
전기 마이크로미터,electric micrometer,電?マイクロメ?タ(デンキマイクロメ?タ)
전동기,electric motor,
전위,electric potential,電位(デンイ)
전력,electric power,電力(デンリョク)
발전소,electric power plant,
전기 집진 장치,electric precipitator,
전압,electric pressure,
전기 방식,electric prevention of corrosion,
전기 추진,electric propulsion,電?推進(デンキスイシン)
전기 방식,electric protection,
전기 방열기,electric radiator,
전기 냉장고,electric refrigerator,
전기 저항,electric resistance,電?抵抗(デンキテイコウ)
전기 저항 용접관,electric resistance weld pipe,
전봉관,electric resistance weld pipe,
전기 저항 용접관,electric resistance weld pipe,
전봉관,electric resistance weld pipe,
전기 저항 용접,electric resistance welding,
전기 납땜 인두,electric soldering iron,
방전 가공기,electric spark machine,
전기 시동기,electric starter,
전기식 스타터,electric starter,
전기 시동기,electric starter,
전기식 스타터,electric starter,
전기강,electric steel,
전기로강,electric steel,
전기강,electric steel,
전기로강,electric steel,
전기 조타장치,electric steering gear,
"전기 회전 속도계, 전기 타코미터",electric tachometer,
전기 용접기,electric welder,
전기 용접,electric welding,電?溶接(デンキヨウセツ)
전기 용접기,electric welding machine,
전기 윈치,electric winch,
전선,electric wire,
전기 접전 재료,electrical contact materials,
전기 저항로,electrical resistance furnace,
전선,electrical wire,電線(デンセン【ドウタイ】)
전기의,electro-,
일렉트로,electro-,
전기의,electro-,
일렉트로,electro-,
전기 주형법,electro forming,
전착 도장,electro painting,
전극 소모비,electro wear ratio,
전기 화학적 촉매,electrocatalyst,
전해 가공,electrochemical machining,
일렉트로크로믹 디스플레이,electrochromic display,
일렉트로크로믹 재료,electrochromic materials,
전도성 유리,electroconductive glass,
용접봉,electrode,電極(デンキョク)
전극,electrode,電極(デンキョク)
용접봉,electrode,電極(デンキョク)
전극,electrode,電極(デンキョク)
용접봉 홀더,electrode holder,
전극 홀더,electrode holder,
용접봉 홀더,electrode holder,
전극 홀더,electrode holder,
전극 팁,electrode tip,電極チップ(デンキョクチップ)
전기 유체 발전,electrofluid dynamic generation of electricity,
전기 주조,electroforming,電?(デンチュウ【デンチャク】)
전기 가스 아크 용접,electrogas arc welding,
일렉트로그래프 분석,electrographic analysis,
전기유압식 성형,electrohydraulic forming,
전기-유압 펄스 모터,electrohydraulic pulse motor,
무전해 도금,electroless plating,
화학 도금,electroless plating,
무전해 도금,electroless plating,
화학 도금,electroless plating,
전기 루미네선스,electroluminescence,
전기 분해,electrolysis,電解(デンカイ)
전해,electrolysis,電解(デンカイ)
전기 분해,electrolysis,電解(デンカイ)
전해,electrolysis,電解(デンカイ)
전해액,electrolyte,電解質(デンカイシツ)
전해질,electrolyte,電解質(デンカイシツ)
전해액,electrolyte,電解質(デンカイシツ)
전해질,electrolyte,電解質(デンカイシツ)
전해 캐비티 가공,electrolytic cavity sinking,
전해 형조각,electrolytic cavity sinking,
전해 캐비티 가공,electrolytic cavity sinking,
전해 형조각,electrolytic cavity sinking,
전해 착색법,electrolytic coloring,電解着色(デンカイチャクショク)
전해 트리밍 가공,electrolytic flash cutting,
전해로,electrolytic furnace,
전해 연삭,electrolytic grinding,電解?削(デンカイケンサク)
전해철,electrolytic iron,電解?(デンカイテツ)
전해 산세척,electrolytic pickling,
전해 연마,electrolytic polishing,電解?磨(デンカイケンマ)
전자석,electromagnet,電磁石(デンジシャク)
전자기 브레이크,electromagnetic brake,電磁ブレ?キ(デンジブレ?キ)
전자력 제동기,electromagnetic brake,電磁ブレ?キ(デンジブレ?キ)
전자기 브레이크,electromagnetic brake,電磁ブレ?キ(デンジブレ?キ)
전자력 제동기,electromagnetic brake,電磁ブレ?キ(デンジブレ?キ)
전자 척,electromagnetic chuck,
마그넷 클러치,electromagnetic clutch,電磁クラッチ(デンジクラッチ)
전자 클러치,electromagnetic clutch,電磁クラッチ(デンジクラッチ)
마그넷 클러치,electromagnetic clutch,電磁クラッチ(デンジクラッチ)
전자 클러치,electromagnetic clutch,電磁クラッチ(デンジクラッチ)
전자기 유량계,electromagnetic flow meter,
전자 오실로그래프,electromagnetic oscillograph,
전자기 진동 기록기,electromagnetic oscillograph,
전자 오실로그래프,electromagnetic oscillograph,
전자기 진동 기록기,electromagnetic oscillograph,
전자석 펌프,electromagnetic pump,電磁ポンプ(デンジポンプ)
전자 릴레이,electromagnetic relay,電磁?電器(デンジケイデンキ)
전자 계전기,electromagnetic relay,電磁?電器(デンジケイデンキ)
전자 릴레이,electromagnetic relay,電磁?電器(デンジケイデンキ)
전자 계전기,electromagnetic relay,電磁?電器(デンジケイデンキ)
기계 전기식 픽업,electromechanical pickup,
전기 야금,electrometallurgy,
기전력,electromotive force,
일렉트론,electron,電子(デンシ)
전자,electron,電子(デンシ)
일렉트론,electron,電子(デンシ)
전자,electron,電子(デンシ)
전자 빔 노출 장치,electron beam lithography system,
전자 빔 용접,electron beam welding,電子ビ?ム溶接(デンシビ?ムヨウセツ)
전자 충격 가공,electron bombardment,
전자 렌즈,electron lens,電子レンズ(デンシレンズ)
전자 현미경,electron microscope,電子?微鏡(デンシケンビキョウ)
전자 분광법,electron spectroscopy,電子分光法(デンシブンコウホウ)
전자 볼트,electron volt,
컴퓨터,electronic computer,
전자 자료 처리,electronic data processing,
전자식 전압계,electronic voltmeter,
일렉트로닉스,electronics,電子技術(デンシギジュツ)
전자 공학,electronics,電子技術(デンシギジュツ)
일렉트로닉스,electronics,電子技術(デンシギジュツ)
전자 공학,electronics,電子技術(デンシギジュツ)
전자 탐침 X선 미소분석기,electron-probe X-ray microanalyser,
전기 영동 도금,electrophoretic plating,
전기 도금,electroplating,電?めっき(デンキメッキ)
일렉트로슬래그 용접,electro-slag welding,
정전 용량,electrostatic capacity,?電容量(セイデンヨウリョウ)
대전,electrostatic charge,
정전 도장,electrostatic painting,
정전 분리기,electrostatic separator,
정전 선별기,electrostatic separator,
정전 분리기,electrostatic separator,
정전 선별기,electrostatic separator,
정전 차폐,electrostatic shielding,?電遮蔽(セイデンシャヘイ)
정전 축적식 점용접기,electrostatic stored energy type spot welder,
소자,element,元素(ゲンソ)
원소,element,元素(ゲンソ)
기소,element,元素(ゲンソ)
요소,element,元素(ゲンソ)
엘리먼트,element,元素(ゲンソ)
소자,element,元素(ゲンソ)
원소,element,元素(ゲンソ)
기소,element,元素(ゲンソ)
요소,element,元素(ゲンソ)
엘리먼트,element,元素(ゲンソ)
소자,element,元素(ゲンソ)
원소,element,元素(ゲンソ)
기소,element,元素(ゲンソ)
요소,element,元素(ゲンソ)
엘리먼트,element,元素(ゲンソ)
소자,element,元素(ゲンソ)
원소,element,元素(ゲンソ)
기소,element,元素(ゲンソ)
요소,element,元素(ゲンソ)
엘리먼트,element,元素(ゲンソ)
소자,element,元素(ゲンソ)
원소,element,元素(ゲンソ)
기소,element,元素(ゲンソ)
요소,element,元素(ゲンソ)
엘리먼트,element,元素(ゲンソ)
소립자,elementary particle,素粒子(ソリュウシ)
유선,elementary stream,
입면도,elevation,上昇(ジョウショウ)
엘리베이터,elevator,
일리미네이터,eliminator,
엘린바 합금,Elinvar alloys,
타원,ellipse,楕円(ダエン)
관성 타원,ellipse of inertia,
타원 스프링,elliptic spring,
타원 스프링,elliptical spring,
신율,elongation,伸び(ノビ)
엠보싱,embossing,
부각,embossing,
엠보싱,embossing,
부각,embossing,
비상 브레이크,emergency brake,
비상 조속기,emergency governor,
비상 밸브,emergency valve,
금강사,emery,
에머리,emery,
금강사,emery,
에머리,emery,
금강 사포,emery cloth,
사포,emery cloth,
에머리 클로스,emery cloth,
에머리 포,emery cloth,
금강 사포,emery cloth,
사포,emery cloth,
에머리 클로스,emery cloth,
에머리 포,emery cloth,
금강 사포,emery cloth,
사포,emery cloth,
에머리 클로스,emery cloth,
에머리 포,emery cloth,
금강 사포,emery cloth,
사포,emery cloth,
에머리 클로스,emery cloth,
에머리 포,emery cloth,
샌드 페이퍼,emery paper,
에머리 페이퍼,emery paper,
샌드 페이퍼,emery paper,
에머리 페이퍼,emery paper,
숫돌 바퀴,emery wheel,
숫돌차,emery wheel,
숫돌 바퀴,emery wheel,
숫돌차,emery wheel,
숫돌 바퀴 드레서,emery wheel dresser,
기전력,emf,
방출능,emissive power,
방사도,emissive power,
방출능,emissive power,
방사도,emissive power,
방사율,emissivity,
이미터,emitter,
에멜 주철,emmel cast iron,
에멀션화,emulsification,乳化(ニュウカ【エマルション】)
유화,emulsification,乳化(ニュウカ【エマルション】)
에멀션화,emulsification,乳化(ニュウカ【エマルション】)
유화,emulsification,乳化(ニュウカ【エマルション】)
유화유 담금질,emulsified oil quenching,
에멀션,emulsion,乳濁液(ニュウダクエキ)
유제,emulsion,乳濁液(ニュウダクエキ)
에멀션,emulsion,乳濁液(ニュウダクエキ)
유제,emulsion,乳濁液(ニュウダクエキ)
유제 절삭유,emulsion cutting oil,
에나멜 페인트,enamel paint,
닫힘 용접,enclosed welding,
인클로즈 용접,enclosed welding,
닫힘 용접,enclosed welding,
인클로즈 용접,enclosed welding,
인코더,encoder,
부호기,encoder,
인코더,encoder,
부호기,encoder,
엔드 캠,end cam,
엔드 크레이터,end crater,
정면 바이트,end cut tool,
끝면도,end elevation,
나뭇결,end grain,
엔드 그레인,end grain,
나뭇결,end grain,
엔드 그레인,end grain,
엔드 밀,end mill,エンドミル(エンドミル)
블록 끝,end of block,
경판,end plate,
마구리판,end plate,
경판,end plate,
마구리판,end plate,
엔드 플레이,end play,
엔드 릴리빙,end relieving,
끝면 기준,end standard,
축끝 스러스트,end thrust,
끝면도,end view,
엔드리스 벨트,endless belt,
이음매 없는 벨트,endless belt,
엔드리스 벨트,endless belt,
이음매 없는 벨트,endless belt,
체인 화격자,endless grate,
엔드리스 로프 운반,endless rope haulage,
이음매 없는 로프 운반,endless rope haulage,
엔드리스 로프 운반,endless rope haulage,
이음매 없는 로프 운반,endless rope haulage,
무한 삭도,endless rope way,
흡열 반응,endothermic reaction,
피로 한도,endurance limit,
내구 한계도,endurance limit diagram,
내구 한도 선도,endurance limit diagram,
내구 한계도,endurance limit diagram,
내구 한도 선도,endurance limit diagram,
내구 배율,endurance ratio,
내구 시험,endurance test,
에너지,energy,エネルギ?(エネルギ?)
기관,engine,
엔진,engine,
기관,engine,
엔진,engine,
발동기대,engine bed,
엔진 베드,engine bed,
기관대,engine bed,
발동기대,engine bed,
엔진 베드,engine bed,
기관대,engine bed,
발동기대,engine bed,
엔진 베드,engine bed,
기관대,engine bed,
엔진 브레이크,engine brake,
기관 효율,engine efficiency,
엔진 마운트,engine mount,
엔진 오일,engine oil,エンジン油(エンジンユ)
기관실,engine room,
공학,engineering,
공업 경제,engineering economy,??計算(ケイザイケイサン)
엔지니어링 플라스틱,engineering plastics,
잉글리시 스패너,English spanner,
조각기,engraving machine,彫刻機(チョウコクキ)
확대 시험,enlarge test,
배척,enlarged scale,
농축 가스,enriched gas,
농축 우라늄,enriched uranium,
농축도,enrichment,
엔터링 에지,entering edge,
엔탈피,enthalpy,エンタルピ?(エンタルピ?)
엔트레인멘트,entrainment,エントレインメント(エントレインメント)
엔트로피,entropy,エントロピ?(エントロピ?)
엔트로피 선도,entropy chart,
포락선,envelope,
환경 기준,environmental criteria,
효소 유사 촉매,enzyme-simulated catalyst,
유성 기어 장치,epicyclic gear,
유성 기어 장치,epicyclic gearing,
유성 기어 장치,epicyclic train,
에피사이클로이드,epicycloid,
에피트로코이드,epitrochoid,
외전 트로코이드,epitrochoid,
에피트로코이드,epitrochoid,
외전 트로코이드,epitrochoid,
에폭시 레진,epoxy resin,エポキシ樹脂(エポキシジュシ)
에폭시 수지,epoxy resin,エポキシ樹脂(エポキシジュシ)
에폭시 레진,epoxy resin,エポキシ樹脂(エポキシジュシ)
에폭시 수지,epoxy resin,エポキシ樹脂(エポキシジュシ)
등변산 형강,equal angle steel,
균형 빔,equalizer,
이퀄라이저,equalizer,
평형 보,equalizer,
균형 빔,equalizer,
이퀄라이저,equalizer,
평형 보,equalizer,
균형 빔,equalizer,
이퀄라이저,equalizer,
평형 보,equalizer,
이퀄라이저 빔,equalizer beam,
평형 피스톤,equalizing piston,
평형 스프링,equalizing spring,
평형 방정식,equation of equilibrium,
상태 방정식,equation of state,?態方程式(ジョウタイホウテイシキ)
균형,equilibrium,平衡(ヘイコウ)
평형,equilibrium,平衡(ヘイコウ)
균형,equilibrium,平衡(ヘイコウ)
평형,equilibrium,平衡(ヘイコウ)
평형 상수,equilibrium constant,
평형 상태도,equilibrium diagram,
평형 상태,equilibrium state,平衡?態(ヘイコウジョウタイ)
설비,equipment,?置(ソウチ)
장치,equipment,?置(ソウチ)
장비,equipment,?置(ソウチ)
설비,equipment,?置(ソウチ)
장치,equipment,?置(ソウチ)
장비,equipment,?置(ソウチ)
설비,equipment,?置(ソウチ)
장치,equipment,?置(ソウチ)
장비,equipment,?置(ソウチ)
장치도,equipment drawing,
등 포텐셜 선,equipotential line,
등가,equivalence,
등량,equivalence,
등가,equivalence,
등량,equivalence,
등량의,equivalent,?量(トウリョウ)
동등한,equivalent,?量(トウリョウ)
등량의,equivalent,?量(トウリョウ)
동등한,equivalent,?量(トウリョウ)
상당 굽힘 모멘트,equivalent bending moment,
"등가 지름, 상당 지름",equivalent diameter,
기준 증발량,equivalent evaporation,
상당 증발량,equivalent evaporation,
환산 증발량,equivalent evaporation,
기준 증발량,equivalent evaporation,
상당 증발량,equivalent evaporation,
환산 증발량,equivalent evaporation,
기준 증발량,equivalent evaporation,
상당 증발량,equivalent evaporation,
환산 증발량,equivalent evaporation,
"등가 길이, 상당 길이",equivalent length,
등가 하중,equivalent load,
동등가 하중,equivalent load,
등가 하중,equivalent load,
동등가 하중,equivalent load,
"등가 반지름, 상당 반지름",equivalent radius,
상당 평 기어,equivalent spur gear,
상당 변형,equivalent strain,
상당 응력,equivalent stress,相??力(ソウトウオウリョク)
등가계,equivalent system,
상당 비틀림 모멘트,equivalent twisting moment,
상당 비틀림 모멘트,equivalent viscous damping,
정립상,erected image,
"가설, 조립",erection,
에르그,erg,
에르고너믹스,ergonomics,
인간 공학,ergonomics,
에르고너믹스,ergonomics,
인간 공학,ergonomics,
에릭센 시험,Erichsen-test,
에릭슨 사이클,Ericsson cycle,
이로전,erosion,
침식,erosion,
이로전,erosion,
침식,erosion,
이로전 부식,erosion-corrosion,
에러,error,
오류,error,
오차,error,
에러,error,
오류,error,
오차,error,
에러,error,
오류,error,
오차,error,
에사키 다이오드,Esaki diode,
에스컬레이터,escalator,エスカレ?タ(エスカレ?タ)
도출관,escape pipe,
이스케이프 밸브,escape valve,
탈출 밸브,escape valve,
이스케이프 밸브,escape valve,
탈출 밸브,escape valve,
이탈 속도,escape velocity,
탈출 속도,escape velocity,
이탈 속도,escape velocity,
탈출 속도,escape velocity,
이스케이프 휠,escape wheel,
탈진기,escapement,
이스케이프먼트,escapement,
지동 기구,escapement,
탈진기,escapement,
이스케이프먼트,escapement,
지동 기구,escapement,
탈진기,escapement,
이스케이프먼트,escapement,
지동 기구,escapement,
이스케이프먼트 휠,escapement wheel,
에소 시험,Esso test,
애타닛,Etanite,
에칭,etching,エッチング(エッチング)
부식제,etching reagent,
에틸렌,ethylene,
에틸렌 프로필렌 고무,ethylen-propylene rubber,
오일러 공식,Euler's formula,
유털로이,eutalloy,
공정,eutectic,
공정 선철,eutectic pig iron,
공정점,eutectic point,
공석,eutectoid,
공석강,eutectoid steel,
공석 조직,eutectoid structure,
증발,evaporation,蒸?(ジョウハツ)
증발 용량,evaporative capacity,
증발 냉각,evaporative cooling,蒸?冷却(ジョウハツレイキャク)
증발 계수(율),evaporative factor,
증발력,evaporative power,
증발기,evaporator,蒸??置(ジョウハツソウチ)
검사,examination,
시험,examination,
검사,examination,
시험,examination,
굴삭기,excavator,
굴착기,excavator,
굴삭기,excavator,
굴착기,excavator,
과잉 공기,excess air,
공기 과잉 계수,excess air factor,
과잉 공기비,excess air ratio,
과잉 공기율,excess air ratio,
과잉 공기비,excess air ratio,
과잉 공기율,excess air ratio,
여력 관리,excess control,
보강 용접,excess metal,
과잉 용착 금속,excess metal,
보강 용접,excess metal,
과잉 용착 금속,excess metal,
초과 반응도,excess reactivity,
과잉 반응도,excess reactivity,
초과 반응도,excess reactivity,
과잉 반응도,excess reactivity,
가진,excitation,
여진,excitation,
가진,excitation,
여진,excitation,
가진력,exciting force,
여진력,exciting force,
가진력,exciting force,
여진력,exciting force,
층상 부식,exfoliation corrosion,
배기,exhaust air,
배기 보일러,exhaust boiler,
배기 캠,exhaust cam,
배기,exhaust gas,
배기 가스,exhaust gas,
배기,exhaust gas,
배기 가스,exhaust gas,
배기 가스 보일러,exhaust gas boiler,
배기 가스 이코노마이저,exhaust gas economizer,
배기 난방,exhaust gas heating,
배기 난방,exhaust gas steam heating,
배기 가스 터빈,exhaust gas turbine,
배기 손실,exhaust loss,
배기 매니폴드,exhaust manifold,
배기 노즐,exhaust nozzle,
배기관,exhaust pipe,
배기구,exhaust port,
배기 압력,exhaust pressure,
배기음,exhaust sound,
배기,exhaust steam,
배기 행정,exhaust stroke,
배기 밸브,exhaust valve,
배기장치,exhauster,
출구각,exit angle,
유출 속도,exit velocity,
확관 시험,expand test,
익스팬디드 메탈,expanded metal,
강망,expanded metal,
익스팬디드 메탈,expanded metal,
강망,expanded metal,
익스팬더,expander,
넓히기 작업,expanding,
넓히기 심봉,expanding arbor,
팽창 심봉,expanding arbor,
넓히기 심봉,expanding arbor,
팽창 심봉,expanding arbor,
팽창,expansion,膨張(ボウチョウ)
신축 벤드,expansion bend,
익스팬션 볼트,expansion bolt,
팽창 볼트,expansion bolt,
익스팬션 볼트,expansion bolt,
팽창 볼트,expansion bolt,
팽창 계수,expansion coefficient,膨張係?(ボウチョウケイスウ)
팽창률,expansion coefficient,膨張係?(ボウチョウケイスウ)
팽창 계수,expansion coefficient,膨張係?(ボウチョウケイスウ)
팽창률,expansion coefficient,膨張係?(ボウチョウケイスウ)
팽창 곡선,expansion curve,
신축 이음,expansion joint,伸縮?手(シンシュクツギテ)
팽창 이음,expansion joint,伸縮?手(シンシュクツギテ)
신축 이음,expansion joint,伸縮?手(シンシュクツギテ)
팽창 이음,expansion joint,伸縮?手(シンシュクツギテ)
팽창비,expansion ratio,
팽창 리머,expansion reamer,
신축 링,expansion ring,
팽창 행정,expansion stroke,
팽창 탱크,expansion tank,
팽창 밸브,expansion valve,膨張弁(ボウチョウベン)
팽창파,expansion wave,
폭비,explosion,爆?(バクハツ)
폭발,explosion,爆?(バクハツ)
폭비,explosion,爆?(バクハツ)
폭발,explosion,爆?(バクハツ)
폭발실,explosion chamber,
폭발 배출문,explosion door,
폭발 한계,explosion mixture limits,
폭발 압력,explosion pressure,
폭발 행정,explosion stroke,
폭발 온도,explosion temperature,
폭발 성형법,explosive forming,爆?成形(バクハツセイケイ)
폭발 압접,explosive pressure welding,
폭발 용접,explosive welding,爆??接(バクハツアッセツ)
노출 심부,exposed core,
노출,exposure,曝露(バクロ)
익스트롤링법,exstrolling process,
EP 레코드,extended playing record,
눈금관,extensible tube,
신장,extension,
연장,extension,
확장,extension,
신장,extension,
연장,extension,
확장,extension,
신장,extension,
연장,extension,
확장,extension,
대형 수직 선반,extension boring and turning mill,
치수 보조선,extension line,
신장 강성,extensional rigidity,
신장계,extensometer,伸縮計(シンシュクケイ)
외면 브로치,external broach,
바깥 지름,external diameter,
외경,external diameter,
바깥 지름,external diameter,
외경,external diameter,
외부 에너지,external energy,
외력,external force,
외연로,external furnace,
외접 기어,external gear,
외측 마이크로미터,external micrometer,
외압,external pressure,外?(ガイアツ)
수나사,external thread,
수나사 바이트,external threading tool,
외부 일,external work,
외분식 보일러,externally fired boiler,
