한글,영어,일어
분산형 인공지능,distributed artificial intelligence,
DAE,Distributed Automation Edition,
분산자료 입력,distributed data entry,
분산자료 처리,distributed data processing,
분배지연기간,distributed lag,
분산 수치 제어,distributed numerical control,
분산 처리,distributed processing,
분포무관검정,distribution free test,
분배요구계획,distribution requirement planning,
분포 무관 검정,distribution-free test,
분산투자,diversification,
배당금,dividend,
사업부제,divisional system,
사업부제 조직,divisionalized organization,
십진단위 분시계,DM,
직접수치제어,DNC,
무위대안,do nothing alternative,
공정공급 시스템,dock-to-WIP system,
닷지-로믹 샘플링 검사표,Dodge-Romig Table,
로보트자유도,DOF for robots,
우위 기준,dominance principle,
이중 용기 제어방식,double bin control system,
이중 이분법,double dichotomy,
중복 샘플링검사,double sampling inspection,
중복 샘플링검사,double sampling plan,
이중마코프행렬,doubly Markov matrix,
다우 존스 평균 주가,Dow-Jones average stock price,
다우존스 상품시세지수,Dow-Jones commodity index,
작동불능 기간,down time,
다운사이징,downsizing,
작동불능시간,downtime,
동적계획법,DP,
인발 가공,drawing,
이음매 없는 관,drawn tube,
이음새 없는 관,drawn tube,
이음매 없는 관,drawn tube,
이음새 없는 관,drawn tube,
방임 관리,drifting management,
드라이브 인 랙,drive-in rack,
드라이브 스루 랙,drive-through rack,
낙하식 운반,drop delivery,
드럼 타이머,drum timer,
의사결정지원 시스템,DSS,
이중 명령 주기,dual command cycle,
쌍대문제,dual problem,
쌍대단체법,dual simplex method,
쌍대 원리,duality theorem,
쌍대 정리,duality theorem,
쌍대 원리,duality theorem,
쌍대 정리,duality theorem,
쌍대정리,duality theorems,
두에인 플롯,Duane plot,
연성 주철,ductile cast iron,
연성,ductility,
납기일,due date,
납기관리,due date control,
납기 시간,due time,
단순 단말기,dumb terminal,
가상,dummy,
가상 활동,dummy activity,
가상 수준,dummy level,
가상 수준법,dummy level technique,
의처리,dummy treatment,
내구성,durability,
방진,dust proof,
방진,dust-proof,
동적 문제,dynamic problem,
동적 계획법,dynamic programming,
DYNAMO,DYNAMO,
다이나모유,dynamo oil,
귀마개,ear plug,
가장 이른 납기일,earliest due date,
가장 이른 사건 시간,earliest event time,
가장 이른 종료시간,earliest finish time for an activity,
가장 이른 종료시간,earliest finishing time,
가장 이른 마디 시간,earliest node time,
가장 이른 가능시간,earliest possible time for an event,
가장 이른 시작 시간,earliest start time for an activity,
가장 이른 시작 시간,earliest starting time,
초기 고장,early failure,
초기 고장기간,early failure period,
가득자본,earned capital,
수익력,earning power,
귀마개,earplug,
편심,eccentricity,
전해연삭,ECG,
전해가공,ECM,
계량 경제 모형,econometric model,
경제적 일괄처리 량,economic batch quantity,
경제적 공통 주기 일정계획,economic common cycle scheduling,
경제적 절삭속도,economic cutting speed,
관리도의 경제적 설계,economic design of control chart,
샘플링방식의 경제적 설계,economic design of sampling plan,
경제성장률,economic growth rate,
경제적 수명,economic life,
경제적 로트 크기,economic lot size,
경제적 주문량,economic order quantity,
경제적 주문량,economic ordering quantity,
경제 제조 로트,economic producting lot,
경제적 생산량,economic production quantity,
경제성 공학,economical engineering,
경제적 로트 크기,economical lot size,
규모의 경제,economics of scale,
범위의 경제,economies of scope,
경제성,economy,
능선,edge,
경계 카드,edge card,
경계 검출법,edge detection,
방전가공,EDM,
뇌파,EEG,
연간실질이자율,effective annual interest rate,
유효 재고,effective balance,
유효 용량,effective capacity,
실질이자율,effective interest rate,
유효중량,effective net weight,
유효 반복수,effective number of replication,
유효 반복수,effective number of replications,
유효온도,effective temperature,
유효성,effectiveness,
유효성 기법,effectiveness approach,
원심성 신경,efferent nerve,
효율성,efficiency,
효율성 지표,efficiency index,
효율 평가제도,efficiency rate plan,
능률급,efficiency wage,
유효 경계,efficient frontier,
유효점,efficient point,
노력,effort,
노력 평점,effort rating,
노력도 평가,effort rating,
노력 평점,effort rating,
노력도 평가,effort rating,
"탄성한도, 탄성한계",elastic limit,
탄성,elasticity,
앉은팔꿈치높이,elbow rest height,
방전 가공,electric discharge machining,
방전 가공 속도,electric discharge machining velocity,
방전가공,electric discharging machining,
전기저항 용접,electric resistance welding,
안구전위도,electro oculo gram,
안구전위도,electro oculogram,
심전도,electrocardiogram,
전해연삭,electrochemical grinding,
전해가공,electrochemical machining,
전극,electrode,
용접봉,electrode welding rod,
뇌파,electroencephalogram,
전자석 조임,electromagnetic clamping,
전자계산기,electronic computer,
자료처리시스템,electronic data processing system,
전자산업협회,Electronic Industries Association,
전해 연마,electronic polishing,
기본행렬,elementary matrix,
E. C. R. S.,"Eliminate, Combine, Rearrange, Simplify",
엠보싱,embossing,
비상정지,emergency power offs,
비상정지,emergency power-offs,
숫돌차,emery,
에미터,emitter,
종업원 참여,employee's participation,
에뮬레이션,emulation,
코드화,encode,
엔드이펙터,end effector,
엔드 밀,end mill,
엔드이펙터,end-effector,
증여 재산,endowment,
지구력,endurance,
최종 사용자 컴퓨팅,end-user computing,
에너지 소비량,energy expenditure,
선반,engine lathe,
공학,engineering,
공학 해석,engineering analysis,
경제성 공학,engineering economy,
공학적 가치평가,engineering valuation,
엔트로피,entropy,
완전 열거법,enumeration method,
환경,environment,
환경 시험,environment test,
환경영향평가,environmental assessment,
등각형 강,equal angle steel,
등식제약 이차계획법,equality constrained quadratic programming,
열교환 방정식,equation for heat exchange,
균형,equilibrium,
균형방정식,equilibrium equation,
설비 가동률,equipment operation rate,
등가,equivalence,
동일 소음 수준,equivalent sound level,
이피롬,erasable and programmable ROM,
EPROM,Erasable PROM,
에르고딕 마코프사슬,ergodic Markov chain,
에르고드성,ergodicity,
인간공학,ergonomics,
얼랑 분포,Erlang distribution,
얼랑의 손실공식,Erlang's loss formula,
침식,erosion,
오차,error,
오차인자,error factor,
예측 오차,error in forecast,
제1종 과오,error of the first kind,
제1종 과오,error of the first type,
제2종 과오,error of the second kind,
제2종 과오,error of the second type,
오차 분산,error variance,
탈착장치,escapement,
필수적인,essential,
필수기능,essential function,
추정치,estimate,
추정된,estimated,
"추정원가, 추정비용",estimated cost,
추정손익계산서,estimated statement of profit and loss,
추정,estimation,
추정량,estimator,
유효온도,ET,
에칭,etching,
이더넷,ethernet,
기능 평가,evaluation of function,
사건,event,
사건 마디,event node,
진화 연산,evolutionary operation,
직선 탐색,exact line search,
초과 수요,excess demand,
교환가치,exchange value,
소비세,excise tax,
배당락,ex-dividend,
기대값,expectation,
기대현금흐름,expected cash flow,
기대수익률,expected rate of return,
기대 시간,expected time,
기대값,expected value,
독촉,expediting,
공장 실험,experiment in factory,
실험영역,experimental region,
전문가 시스템,expert system,
전문가 시스템 쉘,expert system shell,
설명 변수,explanatory variable,
양함수식,explicit equation,
분해조립도,exploded assembly drawing,
탐색적 자료분석,explorating data analysis,
탐구적 기술 예측,exploratory forecasting,
폭발성형,explosive forming,
폭발 성형법,explosive forming,
폭발성형,explosive forming,
폭발 성형법,explosive forming,
지수 분포,exponential distribution,
지수 서비스 시간,exponential service time,
지수평활법,exponential smoothing method,
지수가중 이동평균,exponentially weighted moving average,
지수가중 이동평균 관리도,exponentially weighted moving average chart,
EBCDIC,Extended Binary Coded Decimal Interchange Code,
EXAPT,EXtended subset of Automatically Programmed Tool,
확장,extension,
외부 요소,external element,
외부실패비용,external failure cost,
외부 시장,external market,
외부 기억 장치,external memory,
외부수익률,external rate of return,
외부시간,external time,
특별배당금,extra dividend,
초 두랄루민,extra super duralumin,
특별상각,extraordinary depreciation,
극점,extreme point,
극점 해,extreme solution,
압출가공,extrusion,
아이 카메라 분석,eye camera analysis,
눈높이,eye height,
앉은눈높이,"eye height, sitting",
안구운동 기록계,eye mark movement monitor,
안구 피로,eye strain,
안구 피로,eyestrain,
아링 법칙,Eyring law,
F분포,F distribution,
F 검정,F test,
공장자동화,FA,
면모사 방법,face method,
면 밀링공구,face mill,
면 밀링공구,face milling cutter,
시설 및 공장입지선정,facilities location or plant location,
설비,facility,
설비효율,facility efficiency,
설비배치,facility layout,
설비 입지 요인,facility location factor,
설비보전,facility maintenance,
설비계획,facility planning,
인자,factor,
요인 분석,factor analysis,
인자 분석,factor analysis,
요인 분석,factor analysis,
인자 분석,factor analysis,
요인비교법,factor comparison method,
인자 수준,factor level,
요인 효과,factorial effect,
요인 실험,factorial experiment,
공장 입지 요인,factors of factory location,
FACTOR,FActory Control Through Operations Replication,
제조 원가,factory cost,
제조 간접비,factory overhead,
고장,failure,
고장비용,failure cost,
고장비용,failure costs,
고장 기준,failure criterion,
고장판정기준,failure criterion,
고장 기준,failure criterion,
고장판정기준,failure criterion,
고장밀도 함수,failure density function,
고장 유형,failure mode,
고장 유형 및 영향 분석,failure mode and effect analysis,
고장유형 및 영향분석,failure mode and effectiveness analysis,
고장유형 및 영향분석,failure mode-and-effect analysis,
고장률,failure rate,
고장률 가속 계수,failure rate acceleration factor,
고장률 함수,failure rate function,
단위,failure unit,
공정한 게임,fair game,
파카스의 보조정리,Farkas' Lemma,
분지완료,fathom,
피로,fatigue,
피로 여유,fatigue allowance,
고장인내 시스템,fault tolerance system,
고장 인내 시스템,fault tolerant system,
고장 나무 분석,fault tree analysis,
선입선출,FCFS,
F 분포,F-distribution,
가능 기저,feasible basis,
가능해 영역,feasible region,
가능 해집합,feasible set,
가능해,feasible solution,
형상 추출법,feature extraction,
특징 가중합산 방식,feature weighting,
페크너의 법칙,Fechner's law,
이송,feed,
피드 백,feed back,
피드백 제어시스템,feed back control system,
피드 백 수법,feed back system,
이송 절삭력,feed cutting force,
이송 장치,feed device,
이송률,feed rate,
이송궤도,feed track,
피드백,feedback,
피드백 시스템,feedback system,
피드백 변환기,feedback transducer,
펠로즈 셰이퍼,Fellow's shaper,
페라이트,ferrite,
합금철,ferro alloy,
합금철,ferro alloys,
명령 인출 주기,fetch cycle,
광섬유 센서,fiber optics sensor,
피보나치 탐색,Fibonacci search,
피보나치 급수,Fibonacci series,
피커 기계임률제,Ficker machine-rate plan,
필드,field,
현장 자료,field data,
선입선출법,FIFO,
파일,file,
파일 유지관리,file maintenance,
파일 관리 시스템,file management system,
파일 관리 시스템,file management systems,
필름 분석,film analysis,
최종 검사,final inspection,
최종가치 법,final value method,
최종가치 계수,final worth,
최종가치 계수,final worth factor,
금융,finance,
재무 회계,financial accounting,
재무 분석,financial analysis,
재무 관리,financial management,
재무제표,financial statements,
정밀 천공선반,fine boring machine,
마무리 표시,finish mark,
마무리 표시,finish marks,
마무리 기호,finishing symbol,
유한요소법,finite element analysis,
유한 게임,finite game,
유한 모집단,finite population,
유한 모집단 수정,finite population correction,
유한모집단 수정인자,finite population correction factor,
유한대기행렬,finite queue,
일각법,first angle projection,
선입선출법,first come first served,
초기 비용,first cost,
첫 통과시간,first passage time,
시제품 검사,first piece inspection,
선입선출법,first-in first-out,
회계연도,fiscal year,
생선뼈 그림,fishbone diagram,
피셔효과,Fisher's effect,
적합,fit,
맞춤 방식,fit system,
맞춤 품질,fitting quality,
고정자산,fixed asset,
고정 자산,fixed assets,
고정자산비율,fixed assets ratio,
고정 자산 가치 비율,fixed assets to net worth ratio,
고정자산 회전율,fixed assets turnover,
고정형 자동화,fixed automation,
고정형 블록 양식,fixed block format,
고정 예산,fixed budget,
고정 자본,fixed capital,
고정비용 문제,fixed charge problem,
고정 비용,fixed cost,
고정 비용,fixed costs,
고정 요소,fixed element,
고정 인자,fixed factor,
고정길이 레코드,fixed length record,
고정부채,fixed liability,
고정 횟수 시험법,fixed number testing plan,
정기 주문시스템,fixed order period system,
정량 주문량법,fixed order quantity method,
정량 주문시스템,fixed order quantity system,
정량 주문량,fixed order quantity system,
정량 주문시스템,fixed order quantity system,
정량 주문량,fixed order quantity system,
고정 경로형 설비,fixed path equipment,
고정비율 샘플링검사,fixed percent sampling inspection,
고정점,fixed point,
고정 소수점법,fixed point method,
고정 소수점 문제,fixed point problem,
고정 소수점 계획법,fixed point programming,
고정 소수점 표시,fixed point representation,
정량 주문 시스템,fixed quantity ordering system,
고정 비율,fixed ratio,
고정 순차형 양식,fixed sequential format,
고정시 시험 방법,fixed time testing plan,
고정원점,fixed zero,
고정 효과 모형,fixed-effect model,
정기 주문시스템,fixed-order period system,
정량 주문시스템,fixed-order quantity system,
고정구,fixture,
박리,flaking,
불꽃 절단,flame cutting,
플랜지,flange,
측면 마모,flank wear,
평면도,flatness,
결함,flaw,
플렉스타임,flex time,
유연성,flexibility,
유연조립시스템,flexible assembly system,
유연자동화,flexible automation,
유연흐름시스템,flexible flow system,
유연가공시스템,flexible machining system,
유연 생산 셀,flexible manufacturing cell,
유연 생산 시스템,flexible manufacturing system,
유연 생산,flexible manufacturing system,
유연 생산 시스템,flexible manufacturing system,
유연 생산,flexible manufacturing system,
유연 이송 라인,flexible transfer line,
유연인력,flexible workforce,
굴곡,flexion,
천공기,flexowriter,
점멸,flicker,
점멸융합주파수,flicker fusion frequency,
점멸치,flicker value,
플립 플롭,flip-flop,
여유 시간,float,
유동점,floating point,
유동 소수점표시,floating point representation,
유동 원점,floating zero,
바닥 면적,floor space,
흐름,flow,
흐름 분석,flow analysis,
흐름확대경로,flow augmenting path,
흐름도,flow chart,
흐름 보존법칙,flow conservation law,
흐름도,flow diagram,
흐름 라인,flow line,
흐름 작업,flow operation,
흐름 공정도,flow process chart,
공정분석기호,flow process chart symbols,
흐름 공정도,flow process diagram,
흐름생산,flow production,
플로시트,flow sheet,
흐름공정,flow shop,
흐름공정 일정계획,flow shop scheduling,
흐름 시간,flow time,
흐름 활동 관계 분석,flow-activity relationship analysis,
흐름도,flowchart,
흐름공정 일정정계획,flow-shop scheduling problem,
홈붙이 리머,fluted reamer,
홈밀링커터,fluting cutter,
플럭스,flux,
플라이박스식 시계,flybox type stopwatch,
고장 모드와 영향해석,FMEA,
유연생산 시스템,FMS,
초점색,focal color,
중점화 공장 전략,focused factory strategy,
중점화 전략,focused strategy,
사후훈련,follow up training,
진도관리,follow-up,
자명한 증명,fool proof,
발너비,foot breadth,
발 길이,foot length,
발 구동장치,foot-operated device,
고장률,force of mortality,
포드 시스템,Ford system,
예측,forecasting,
예측오차,forecasting error,
포어그라운드 처리,foreground processing,
외래요소,foreign element,
조장,foreman,
단조성,forgibility,
단조,forging,
성형 설계,form design,
성형 공정분석표,form process chart,
성형압연,form rolling,
성형밀링공구,formed milling cutter,
성형,forming,
성형작업,forming,
성형,forming,
성형작업,forming,
FORTRAN,FORTRAN,
"주물공정, 주물공장",foundry,
4단계법,four step method,
4세대언어,fourth generation language,
4세대 언어,fourth-generation languages,
불량률,fraction defective,
부분 요인실험,fractional factorial experiment,
분수계획법,fractional programming,
분수계획법 문제,fractional programming problem,
길브레스,Frank B. Gilbreth,
길브레드,Frank Bunker Gilbreth,
테일러,Frederick Winslow Taylor,
자유여유시간,free float,
자유 플로 시스템,free flow system,
자유 단조,free forging,
무상 지급,free grant,
자유곡선,free-formed curve,
자유곡면,free-formed surface,
도수 곡선,frequency curve,
도수 분포,frequency distribution,
도수율,frequency rate,
유입유출표,from-to chart,
유입유출표,from-to-chart,
전이중,full duplex,
완전 요인실험,full factorial experiment,
완전 양방향,full-duplex,
"기능, 함수, 직능",function,
기능분석,function analysis,
기능계통도,function analysis system technique chart,
기능조직,function organization,
기능 계통,function schematics,
기능별 접근방법,functional approach,
기능 영역,functional area,
기능별 인체 치수,functional body dimension,
기능원가,functional cost,
기능 비용,functional cost,
기능원가,functional cost,
기능 비용,functional cost,
기능적 감가상각,functional depreciation,
기능설계,functional design,
기능별 배치,functional layout,
기능한계,functional limit,
기능 조직,functional organization,
기능별전략,functional strategy,
주의력의 초점화 현상,funneling of attention,
로,furnace,
미래 원가,future cost,
미래가,future worth,
모호성,fuzziness,
아연도금,galvanization,
도박사의 파산,gambler's ruin,
특성함수형 게임,game in characteristic function form,
제휴형 게임,game in coalitional form,
전개형 게임,game in extensive form,
표준형 게임,game in normal form,
전략형 게임,game in strategic form,
게임이론,game theory,
게임 나무,game tree,
완비 정보 게임,game with complete information,
불완비 정보 게임,game with incomplete information,
완전 정보 게임,game with perfect information,
완전 정보게임,game with perfect recall,
이득 양도가 있는 게임,game with sidepayments,
이득 양도가 없는 게임,game without sidepayments,
감마 분포,gamma distribution,
감성공학,Gamsung engineering,
갱 차트,Gang chart,
간트 차트,Gantt chart,
간트 과업상여제,Gantt task and bonus plan,
간트차트,Gantt's chart,
가우스 분포,Gauss distribution,
가우스 곡선,Gaussian curve,
가우스 소거법,Gaussian elimination,
가우스 오차 곡선,Gaussian error curve,
가우스-마코프 정리,Gauss-Markov theorem,
기어 상자,gear box,
기어절삭 밀링 기계,gear cutting milling machine,
기어 연삭기,gear grinder,
기어비,gear ratio,
기어톱니 가공기계,gear tooth shaving machine,
일반여유,general allowance,
일반 분포,general distribution,
일반검사수준,general inspection level,
범용 컴퓨터,general purpose computer,
범용언어,general purpose language,
범용 공작기계,general purpose machine tool,
범용 공작기계,general purpose machine tools,
일반시스템 이론,general system theory,
일반 시스템 이론,general systems theory,
일반 역행렬,generalized inverse,
일반화 축소 경사법,generalized reduced gradient method,
일반화된 재생방정식,generalized renewal equation,
창성형 공정계획,generative process planning,
제네바 기구,Geneva mechanism,
기하학적 치수 및 공차방식,geometric dimensioning,
기하학적칫수 및 공차방식,geometric dimensioning and tolerancing,
기하 분포,geometric distribution,
기하 평균,geometric mean,
형상 모델링,geometric modeling,
기하 이동평균 관리도,geometric moving average control chart,
기하 계획법,geometric programming,
기하 계획법 문제,geometric programming problem,
기하학적 해법,geometric solution method,
형상공차,geometric tolerance,
기하학,geometry,
노인학,gerontology,
눈부심,glare,
전체최적해,global optimum,
전역변수,global variable,
합격기준,go or not go standard,
목표,goal,
목표 계획법,goal programming,
목표계획법,goal programming problem,
경과가치,going-concern value,
황금분할법,golden section search algorithm,
곰페르츠 곡선,Gompertz curve,
합격 판정 게이지,go-no-go gauge,
적합도검정,goodness of fit test,
적합도 검정,goodness-of-fit test,
고든법,Gordon technique,
점증계수,gradient factor,
경사법,gradient method,
함수의 경사,gradient of a function,
경사 사영,gradient projection,
그레코 라틴 방격,Graeco-Latin square,
그래프,graph,
그래프 이론,graph theory,
그래픽 수치제어,graphic numerical control,
그래픽 사용자인터페이스,graphic user interface,
도식화적 일정계획,graphical scheduling,
공정표 기호,graphical symbol for process chart,
파악한계,grasping reach,
중력이송원리,gravity feed principle,
중심문제,gravity problem,
회색 비젼,gray-scale vision,
확대법,greedy method,
회색 주철,grey cast iron,
연삭,grinding,
연삭공구,grinding wheel,
그립퍼,gripper,
홈,groove,
국민 총생산,gross national product,
총이익,gross profit,
총 매출이익,gross profit on sales,
총운전자본,gross working capital,
그룹,group,
그룹 여유,group allowance,
그룹관리도,group control chart,
그룹 다이나믹스,group dynamics,
그룹 능률 계획,group efficiency rate plan,
그룹 배치,group layout,
그룹일정계획,group scheduling,
그룹 표준,group standards,
그룹 테크놀로지,group technology,
GT 설비배치,Group Technology layout,
그룹화,grouping,
군론적 방법,group-theoretic method,
그룹 테크놀로지,GT,
보증사채,guaranteed bond,
보증주,guaranteed stock,
모세균열,hair crack,
반 양방향,half duplex,
반공간,half space,
반양방향,half-duplex,
후광,halo,
후광효과,halo effect,
할시식 장려급,Halsey plan,
할시 할증급 제도,Halsey premium plan,
핼시 할증급 제도,Halsey premium plan,
할시 할증급 제도,Halsey premium plan,
핼시 할증급 제도,Halsey premium plan,
손길이,hand length,
수작업 정렬 카드,hand sort card,
손두께,hand thickness,
운반 시간,handling time,
핸드세이크,handshake,
경도,hardness,
하드웨어,hardware,
하드와이어드 로직,hardwired logic,
하모닉 구동,harmonic drive,
조화 평균,harmonic mean,
하바드 방식,Harvard method,
호손 실험,Hawthorne experiment,
위험률 함수,hazard function,
고장률 타점,hazard plotting,
위험률,hazard rate,
머리너비,head breadth,
머리두께,head length,
헤더,header,
주축대,headstock,
청력 손실,hearing loss,
청력 보호,hearing protection,
열교환 과정,heat exchange process,
열노출 한계,heat exposure limit,
열지수,heat index,
내열강,heat resisting steel,
열 부하,heat stress,
열 부하 지수,heat stress index,
열처리,heat treatment,
내열강,heat-resisting steel,
종횡비,height to width ratio,
평준화,Heijunka,
헬리컬 기어,helical gear,
간트,Henry Laurence Gantt,
헤르츠,hertz,
발견적 방법,heuristic method,
발견적 프로그래밍,heuristic programming,
발견적 탐색,heuristic search,
발견적 방법,heuristics,
힉-하이만 법칙,Hick-Hyman's law,
숨은 선,hidden line,
계층적 코드 구조,hierarchical code structure,
계층적 생산계획,hierarchical production planning,
계층별 입력-처리-출력표,hierarchy and input process-output chart,
계층별  입력 처리 출력 표,hierarchy and input-process-output chart,
계층 도표,hierarchy chart,
고탄소강,high carbon steel,
고급언어,high level language,
고속도강,high speed steel,
고장력강,high strength steel,
고탄소강,high-carbon steel,
고급언어,high-level language,
고속도강,high-speed steel,
고장력강,high-strength steel,
대량생산,high-volume mass production,
대량 생산,high-volume production,
앉은엉덩이너비,"hip breadth, sitting",
히스토그램,histogram,
실적자료법,historical data method,
히치콕의 문제,Hitchcock problem,
호브,hob,
호빙 머신,hobbing machine,
기중기,hoist,
보관 비용,holding cost,
홀소트 카드,Hole-sort card,
홀리스 코드,Hollerith code,
흘리스 코드,Hollerith code,
홀리스 코드,Hollerith code,
흘리스 코드,Hollerith code,
원위치,home position,
동차변환,homogeneous transformation,
호모토피법,homotopy method,
벌집형 적재,honey combing,
호닝,honing,
후퍼,hoop,
호퍼,hopper,
수평적 통합,horizontal integration,
수평 밀링기계,horizontal milling machine,
호닝 머신,horning machine,
열간가공,hot working,
색상,hue,
인간 공학,human engineering,
인간의 실수,human error,
인간공학,human factors engineering,
인간동작시간,human performance times,
인간 관계,human relations,
인간 컴퓨터 상호작용,human-computer interaction,
헝가리방법,Hungarian method,
헝가리법,Hungarian method,
헝가리방법,Hungarian method,
헝가리법,Hungarian method,
허위츠원칙,Hurwicz principle,
혼합형 코드구조,hybrid code structure,
하이브리드 컴퓨터,hybrid computer,
수력기관,hydraulic engine,
수압 단조 압착기,hydraulic forging press,
유압기구,hydraulic mechanism,
유압 모터,hydraulic motor,
수압시험,hydraulic test,
하이드로폼 법,hydroform method,
하이드로제트 시스템,hydro-jet,
초 기하 분포,hyper geometric distribution,
초그레코라틴 방격,Hyper Graeco-Latin square,
초 크레코라틴 방격,Hyper Greco-Latin Square,
하이퍼 미디어,hyper media,
초지수 분포,hyperexponential distribution,
초기하분포,hypergeometric distribution,
가설,hypothesis,
가설 검정,hypothesis test,
가설 검정,hypothesis testing,
저산소증,hypoxia,
산업 디자인,ID,
아이디어,idea,
인식표,identification tag,
단위행렬,identity matrix,
유휴 시간,idle time,
산업공학,IE,
증가형 고장률,IFR,
조도,illuminance,
착각,illusion,
동작중 착각,illusion during motion,
감성공학,image technology,
내재된 마코프체인 접근법,imbedded Markov chain approach,
충격 압출법,impact extruding,
충격 시험,impact test,
음함수식,implicit function,
음함수,implicit function,
음함수식,implicit function,
음함수,implicit function,
잠재가,implicit price,
충격 소음,impulse noise,
부가원가,imputed cost,
공정간 검사,in process inspection,
비축재고,inactive inventory,
장려여유,incentive allowance,
인센티브 수준,incentive pace,
성과 제도,incentive plan,
성과급,incentive wage,
성과급제도,incentive wage plan,
인시덴트 프로세스,incident process,
포함-불포함 공식,inclusion-exclusion formula,
손익계산서,income statement,
소득세,income tax,
수입검사,incoming inspection,
불완비 블럭 계획법,incomplete block design,
불완전 블록 계획법,incomplete block design,
불완비 블럭 계획법,incomplete block design,
불완전 블록 계획법,incomplete block design,
관리상태,in-control,
증가 고장률,increasing failure rate,
증가 고장률 평균,increasing failure rate average,
증분비용,incremental cost,
증분 위치선정법,incremental positioning method,
증분 수익,incremental revenue,
기존 사업자,incumbent,
독립대안,independent alternative,
독립 수요,independent demand,
독립적인 경제적생산량 일정계획,independent EPQ scheduling,
독립방정식,independent equation,
독립여유시간,independent float,
독립증분,independent increment,
독립작업,independent jobs,
독립 반복,independent replication,
독립시행,independent trial,
독립시행,independent trials,
독립변수,independent variable,
지수법,index method,
결정지수,index of determination,
분할표,index table,
색인순차 파일,indexed sequential file,
"색인화, 지표화",indexing,
표시인자,indicative factor,
무차별 품질수준,indifference quality level,
간접 명령,indirect command,
간접비,indirect cost,
간접시간,indirect time,
계량치,indiscrete value,
개별물가지수,individual price index,
개인 합리적 이득 구성,individually rational payoff configuration,
유도발전기,induction generator,
귀납적 접근,inductive approach,
귀납적 방법,inductive approach,
귀납적 접근,inductive approach,
귀납적 방법,inductive approach,
산업 설계,industrial design,
산업 다이내믹스,industrial dynamics,
산업 다이나믹스,industrial dynamics,
산업 다이내믹스,industrial dynamics,
산업 다이나믹스,industrial dynamics,
산업 공학,industrial engineering,
생산재,industrial goods,
산업 물류,industrial logistics,
산업 구매,industrial purchasing,
산업용 로봇,industrial robot,
산업용 텔레비전,industrial television,
산업용 트럭,industrial truck,
부등식 제약 이차계획법,inequality constrained quadratic programming,
초기 고장률,infant mortality,
비가능기저,infeasible basis,
추론기관,inference engine,
무한게임,infinite game,
무한 모집단,infinite population,
인플레이션,inflation,
정보,information,
정보 분할,information partition,
정보 추출,information retrieval,
정보추출 시스템,information retrieval system,
정보 시스템,information system,
정보 시스템 분석,information system analysis,
정보 시스템,information systems,
정보 이론,information theory,
적외선 감지기,infrared sensor,
초저주파 소음,infrasonic noise,
고유가용도,inherent availability,
고유 신뢰도,inherent reliability,
초기 설계,initial design,
초기 고장,initial failure,
IGES,Initial Graphics Exchange Specification,
초기 운용관리,initial operation control,
초기해,initial solution,
사출 성형,injection molding,
혁신,innovation,
설치후 가치,in-place value,
공장내 점포,in-plant store,
공정 검사,in-process inspection,
입력,input,
입력 장치,input device,
투입 산출 분석,input output analysis,
입력 장치,input unit,
투입 산출 분석,input-output analysis,
투입 산출 계수,input-output coefficient,
투입 산출 표,input-output table,
입력 처리 출력표,input-process-output chart,
삽입날 밀링공구,inserted milling cutter,
검사,inspection,
공정간 검사,inspection between process,
검사오류,inspection error,
검사항목,inspection item,
검사 수준,inspection level,
검사 로트,inspection lot,
검사표,inspection notice,
검사 규격,inspection standard,
순간 고장률,instantaneous failure rate,
순간상태,instantaneous state,
IIE,Institute of Industrial Engineers,
무형요소,intangible factor,
정수선형계획법,integer linear programming,
정수 다면체,integer polytope,
정수 계획법,integer programming,
정수계획 문제,integer programming problem,
적분 제어,integral control,
집적회로,integrated circuit,
통합 의사결정 지원 시스템,integrated decision support system,
지능형 로보트,intelligent robot,
지능형 로봇,intelligent robot,
지능형 로보트,intelligent robot,
지능형 로봇,intelligent robot,
지능단말기,intelligent terminal,
이해도 점수,intelligibility score,
상호작용,interaction,
대화식 언어,interactive language,
도착시간간격,inter-arrival time,
도착시간 간격 분포,interarrival time distribution,
호환성,interchangeability,
이자,interest,
이자계수,interest factor,
이자율,interest rate,
인터페이스,interface,
산업 연관표,inter-industry relations,
인터록,interlock,
단속 고장,intermittent failure,
간헐적고장,intermittent failure,
단속 고장,intermittent failure,
간헐적고장,intermittent failure,
단속 동작,intermittent motion,
단속 생산,intermittent production,
내부감사,internal audit,
내부 요소 작업,internal element work,
내부 실패비용,internal failure cost,
내부수익률,internal rate of return,
내부수익률법,internal rate of return method,
내부 정렬,internal sort,
내부시간,internal time,
국제 노동 기구,International Labor Organization,
ILO 피로여유율,International Labor Organization fatigue allowance rate,
국제 규격,international standard,
국제표준화기구,International Standardization Organization,
내삽 보간,interpolation,
보간회로,interpolator,
번역기,interpreter,
번역기,interpreters,
사분위범위,interquartile range,
방해,interrupt,
공점 도표,intersection chart,
구간가용도,interval availability,
구간 추정,interval estimation,
불변부분공간,invariant subspace,
재고,inventory,
재고 비용,inventory charge,
재고 관리,inventory control,
재고비용,inventory cost,
재고유지비용,inventory holding cost,
재고관리와 통제 기법,inventory management program & control techniques,
재고 모형,inventory model,
재고 발주정책,inventory ordering policy,
재고기록철,inventory records file,
