한글,영어,일어
증폭한계주파수,amplification limit frequency,
증폭자연방출,amplified spontaneous emission,
증폭기,amplifier,?幅器                                                                                                                                                                                                                                                            
증폭게이트구조,amplifying gate structure,
앰플리트론,Amplitron,アンプリトロン                                                                                                                                                                                                                                                        
진폭,amplitude,振幅                                                                                                                                                                                                                                                             
진폭 변별기,amplitude discriminator,振幅弁別器                                                                                                                                                                                                                                                          
진폭 왜곡,amplitude distortion,振幅ひずみ                                                                                                                                                                                                                                                          
진폭변형률,amplitude distortion factor,
진폭 홀로그램,amplitude hologram,振幅ホログラム                                                                                                                                                                                                                                                        
진폭 제한기,amplitude limiter,振幅制限器                                                                                                                                                                                                                                                          
진폭변조송신기,amplitude modulated transmitter,
진폭 변조,amplitude modulation,振幅?調                                                                                                                                                                                                                                                           
진폭변조회로,amplitude modulation circuit,
진폭변조도,amplitude modulation factor,
진폭 변조기,amplitude modulator,振幅?調器                                                                                                                                                                                                                                                          
진폭잡음,amplitude noise,
진폭기준레벨,amplitude reference level,
진폭응답,amplitude response modulation,
진폭 선별,amplitude selection,"振幅選擇                                                                                                                                                                                                                                                           ,振幅選擇                                                                                                                                                                                                                                                           "
진폭 선택,amplitude selection,"振幅選擇                                                                                                                                                                                                                                                           ,振幅選擇                                                                                                                                                                                                                                                           "
진폭분리,amplitude separation,
진폭분리회로,amplitude separation circuit,
진폭분리기,amplitude seperator,
진폭억압비,amplitude suppression ratio,
진폭-주파수 특성,amplitude-frequency characteristic,
진폭-주파수 일그러짐,amplitude-frequency distortion,
진폭변조배제,amplitude-modulation rejection,
진폭일그러짐,ampliture distortion,
AM-PM전송방식,AM-PM transmission system,
AN 레인지비컨,AN radio range,
AN시스템 레인지비컨,AN system range beacon,
아날로그,analog,アナログ                                                                                                                                                                                                                                                           
아날로그채널,analog channel,アナログ通信路                                                                                                                                                                                                                                                        
아날로그 회로,analog circuit,
아날로그통신,analog communication,アナログ通信                                                                                                                                                                                                                                                         
아날로그 비교기,analog comparator,
아날로그 컴퓨터,analog computer,アナログコンピュ?タ                                                                                                                                                                                                                                                     
아날로그 컴퓨팅회로,analog computing circuit,
아날로그게이트,analog gate,
아날로그 IC,analog IC,
아날로그 집적회로,analog integrated circuit,アナログ集積回路                                                                                                                                                                                                                                                       
아날로그 다중화기,analog multiplexer,
아날로그 통신망,analog network,アナログ回路網                                                                                                                                                                                                                                                        
아날로그 펄스변조,analog pulse modulation,
아날로그 신호,analog signal,アナログ信?                                                                                                                                                                                                                                                         
아날로그스위치,analog switch,
아날로그 텔레미터,analog telemeter,
아날로그 텔레미터링,analog telemetering,
아날로그-디지탈변환,analog to digital conversion,
아날로그 전송,analog transmission,
아날로그값,analog value,
아날로그-디지팔변환기,analog-digital converter,
A/D 변환기,analog-to-digital converter,アナログ-ディジタル?換器                                                                                                                                                                                                                                                  
합성에 의한 분석,analysis by synthesis,
파라미터에 의한 분석-합성,analysis-synthesis by parameter,
애널라이저,analyzer,分析?置                                                                                                                                                                                                                                                           
선조구절,ancestor clause,
앵커,anchor,アンカ?                                                                                                                                                                                                                                                           
앵커블록,anchor block,
AND 회로,AND circuit,"AND回路                                                                                                                                                                                                                                                          ,AND回路                                                                                                                                                                                                                                                          "
논리곱 회로,AND circuit,"AND回路                                                                                                                                                                                                                                                          ,AND回路                                                                                                                                                                                                                                                          "
AND 게이트,AND gate,AND ゲ?ト                                                                                                                                                                                                                                                        
AND 노드,AND node,
앤더슨 브릿지,Anderson bridge,アンダ?ソンブリッジ                                                                                                                                                                                                                                                     
풍속계,anemometer,風速計                                                                                                                                                                                                                                                            
아네로이드고도계,aneroid altimeter,
에인절,angel,
각도 변조,angle modulation,角度?調                                                                                                                                                                                                                                                           
각도변조,angle modulation,角度?調                                                                                                                                                                                                                                                           
각도잡음,angle noise,
제어진상각,angle of advance of phase control,
영각,angle of attack,
교차각,angle of cut,
유효전기적회전각도,angle of effective electrical rotation,
소호각,angle of extinction,
입사각,angle of incidence,入射角                                                                                                                                                                                                                                                            
무효회전각도,angle of ineffective rotation,
지연각,angle of lag,?れ角                                                                                                                                                                                                                                                            
지상각,angle of lag,?れ角                                                                                                                                                                                                                                                            
진상각,angle of lead,"進み角                                                                                                                                                                                                                                                            ,進み角                                                                                                                                                                                                                                                            "
앞선각,angle of lead,"進み角                                                                                                                                                                                                                                                            ,進み角                                                                                                                                                                                                                                                            "
방어각,angle of protection,
굴절각,angle of refraction,
제어지연각,angle of retard,
화면각,angle of view,
각도주,angle pole,
각도철탑,angle tower,
옹스트롬,Angstrom,オングストロ?ム                                                                                                                                                                                                                                                       
각편차손,angular deviation loss,
각변위,angular displacement,角?位                                                                                                                                                                                                                                                            
각진동수,angular frequency,"角周波?,角振動?                                                                                                                                                                                                                                                      ,角周波?,角振動?                                                                                                                                                                                                                                                      "
각주파수,angular frequency,"角周波?,角振動?                                                                                                                                                                                                                                                      ,角周波?,角振動?                                                                                                                                                                                                                                                      "
각도불일치손실,angular misalignment loss,
각도분해능,angular resolution,
각도변동,angular variation,
각속도,angular velocity,角速度                                                                                                                                                                                                                                                            
아닐린 수지,aniline resin,アニリン樹脂                                                                                                                                                                                                                                                         
애니메이션,animation,アニメ?ション                                                                                                                                                                                                                                                        
부등방성,anisotropic,非等方的な                                                                                                                                                                                                                                                          
이방성자석,anisotropic magnet,
이방성,anisotropy,異方性                                                                                                                                                                                                                                                            
이방성 상수,anisotropy constant,異方性定?                                                                                                                                                                                                                                                          
이방석자계,anisotropy field,
ANNA 위성,Anna Satellite,
풀림,annealing,"?なまし                                                                                                                                                                                                                                                           ,?なまし                                                                                                                                                                                                                                                           "
어닐링,annealing,"?なまし                                                                                                                                                                                                                                                           ,?なまし                                                                                                                                                                                                                                                           "
소멸,annihilation,消滅                                                                                                                                                                                                                                                             
소멸방사선,annihilation radiation,
안내장치,announcement machine,
연부하곡선,annual load curve,
연부하율,annual load factor,
애뉼러 링 트랜지스터,annular ring transistor,
신호장치,annunciator,
애노드,anode,"陽極                                                                                                                                                                                                                                                             ,陽極                                                                                                                                                                                                                                                             "
애노드백,anode bag,
애노드 밸러서,anode balancer,
양극방전개시전압,anode breakdown voltage,
애노드갭,anode cap,
애노드클린닝,anode cleaning,
양극부식효율,anode corrosion efficiency,
양극암부,anode dark space,
애노드검파,anode detection,
애노드검파플레이트검파,anode detection plate detection,
양극손,anode dissipation,"陽極消費                                                                                                                                                                                                                                                           ,陽極消費                                                                                                                                                                                                                                                           "
양극 효과,anode effect,陽極?果                                                                                                                                                                                                                                                           
양극점호,anode firing,
애노드플로워,anode follower,
양극 글로,anode glow,"陽極グロ?                                                                                                                                                                                                                                                          ,陽極グロ?                                                                                                                                                                                                                                                          "
양극 백열광,anode glow,"陽極グロ?                                                                                                                                                                                                                                                          ,陽極グロ?                                                                                                                                                                                                                                                          "
애노드인덕턴스,anode inductance,
양극층,anode layer,
플레이트손실,anode loss,
양극재료,anode material,
양극중화작용,anode neutralization,
양극산화,anode oxidation,
양극병렬리액터,anode paralleling reactor,
양극펄싱,anode pulsing,
양극선,anode ray,陽極線                                                                                                                                                                                                                                                            
양극리액터,anode reactor,
양극스크랩,anode scrap,
양극봉입,anode seal,
양극시스,anode sheath,
양극점액,anode slime,
양극스퍼터링,anode sputtering,
양극스트랩,anode strap,
양극반사펄스상승시간,anode-reflected-pulse rise time,
양극 산화,anodic oxidation,陽極酸化                                                                                                                                                                                                                                                           
양극 산성,anodization,陽極酸化                                                                                                                                                                                                                                                           
양극산화막,anodized film,
양극액,anolyte,陽極液                                                                                                                                                                                                                                                            
이상흡수,anomalous absorption,
이상 분산,anomalous dispersion,異常分散                                                                                                                                                                                                                                                           
이상변위전류,anomalous displacement current,
이상 손실,anomalous dissipation,
이상 전파,anomalous propagation,異常?搬                                                                                                                                                                                                                                                           
이상 제만 효과,anomalous Zeeman effect,異常ゼ?マン?果                                                                                                                                                                                                                                                       
익명 FTP,anonymous FTP,"匿名FTP                                                                                                                                                                                                                                                          ,匿名FTP                                                                                                                                                                                                                                                          "
익명 파일 전송 규약,anonymous FTP,"匿名FTP                                                                                                                                                                                                                                                          ,匿名FTP                                                                                                                                                                                                                                                          "
엔스코크롤,Anscochrome,
ANSI 기준,ANSI standard,ANSI規格                                                                                                                                                                                                                                                         
수신단말확인,answer back,
응답버스,answer bus,
응답지연표시,answer delay indication,
응답보류,answer holding,
응답신호,answer signal,
응답호,answered-call,
국선집중응답장치,answering centralizer,
안테나,antenna,"アンテナ,空中線                                                                                                                                                                                                                                                       "
안테나 개구,antenna aperture,
안테나열,antenna array,アンテナ列                                                                                                                                                                                                                                                          
안테나 빔폭,antenna beam-width,
안테나 방위,antenna bearing,
안테나 용량,antenna capacity,
안테나 코일,antenna coil,
안테나 구조,antenna configuration,
안테나 상극성,antenna conflict,
안테나 상수,antenna constant,
안테나용 자심,antenna core,
안테나 보정계수,antenna correction factor,
안테나 단면적,antenna cross section,
안테나 전류,antenna current,
안테나 디플렉서,antenna diplexer,
안테나지향성다이어그램,antenna directivity diagram,アンテナ指向性?                                                                                                                                                                                                                                                       
안테나 지향패턴,antenna directivity pattern,
안테나효과,antenna effect,
안테나실효면적,antenna effective area,
안테나실효높이,antenna effective hight,
안테나 효율,antenna efficiency,
안테나소자,antenna element,
안테나계수,antenna factor,
안테나 급전장치,antenna feed,アンテナ給電                                                                                                                                                                                                                                                         
안테나전기장이득,antenna field gain,
안테나성능지수,antenna figure of merit,
안테나이득,antenna gain,アンテナ利得                                                                                                                                                                                                                                                         
안테나높이,antenna height,
안테나 렌즈,antenna lens,電波レンズ                                                                                                                                                                                                                                                          
안테나 전력,antenna power,
안테나 저항,antenna resistance,
안테나 공진주파수,antenna resonant frequency,
안테나 격납,antenna stow,
안테나 온도,antenna temperature,
안테나 종단방해,antenna terminal conducted interference,
안테나결합회로,antenna tuning circuit,
안테나 결합기,antennal coupler,
겹침방지필터,antialias filter,
비결합 궤도,antibonding orbital,反結合軌道??                                                                                                                                                                                                                                                        
대음극,anticathode,?陰極                                                                                                                                                                                                                                                            
소란방지회로,anti-clutter circuit,
역동시 회로,anticoincidence circuit,"反一致回路                                                                                                                                                                                                                                                          ,反一致回路                                                                                                                                                                                                                                                          "
역일치 회로,anticoincidence circuit,"反一致回路                                                                                                                                                                                                                                                          ,反一致回路                                                                                                                                                                                                                                                          "
반동시계수기,anticoincidence counter,
충돌예방장치,anti-collicion system,
방식강관,anti-corrosive steel pipe,
잠동방지장치,anticreep device,
반강 유전성,antiferroelectricity,反?誘電性                                                                                                                                                                                                                                                          
반강자성체,antiferromagnetic material,
반강자성,antiferromagnetism,反?磁性                                                                                                                                                                                                                                                           
헌팅방지회로,antihunt circuit,
발진방지변환기,antihunt transformer,
안티헌팅회로,antihunting circuit,ハンチング防止回路                                                                                                                                                                                                                                                      
상반필터,antimetrical filter,
상반회로망,antimetrical network,
마이크로포닉방지,antimicrophonic,
파복,antinode,腹                                                                                                                                                                                                                                                              
안티오프,antiope,
산화 방지제,antioxidant,酸化防止?                                                                                                                                                                                                                                                          
반입자,antiparticle,反粒子                                                                                                                                                                                                                                                            
플러킹방지보호,antiplugging protection,
대척점효과,antipode effect,
무반사코팅,antireflection coating,
반공진,antiresonance,反共振                                                                                                                                                                                                                                                            
반공진주파수,antiresonant frequency,
축음방지회로,antisidetone circuit,
점착방지전압,antistickoff voltage,
점착방지발진기,antistiction oscillator,
반 스토크스선,anti-Stokes line,反 Stokes 線                                                                                                                                                                                                                                                     
반 송수신 관,anti-transmit-receive tube,反送受信切換え管                                                                                                                                                                                                                                                       
APC형 색동기회로,APC type color synchonizing circuit,
비동조증폭기,aperiodic amplifier,
비동조안테나,aperiodic antenna,
비진동회로,aperiodic circuit,
단락전류의 비진동성분,aperiodic component of short-circuit current,
비진동 감쇠,aperiodic damping,非振動減衰                                                                                                                                                                                                                                                          
애퍼처,aperture,"アパ?チャ,開口                                                                                                                                                                                                                                                       "
개구 어드미턴스,aperture admittance,
개구 안테나,aperture antenna,開口面アンテナ                                                                                                                                                                                                                                                        
개구보정회로,aperture compensator,
개구일그러짐,aperture distortion,
개구효과,aperture effect,
개구 효율,aperture efficiency,開口面?率                                                                                                                                                                                                                                                          
개구보정,aperture equalization,
개구조명,aperture illumination,
개구레이블,aperture label,
애퍼처마스크,aperture mask,アパ?チャマスク                                                                                                                                                                                                                                                       
개구 좁힘,aperture stop,開口絞り                                                                                                                                                                                                                                                           
개구시간,aperture time,
개구형 형광등,aperture type fluorescent lamp,
에이펙스,apex,"頂点                                                                                                                                                                                                                                                             ,頂点                                                                                                                                                                                                                                                             "
정부파형,apex step,
원지점,apogee,遠地点                                                                                                                                                                                                                                                            
극점모터,apogee motor,アポジモ?タ                                                                                                                                                                                                                                                         
어포스틸브,apostilb,
A-전원공급,A-power supply,
명확한고도,apparent altitude,
명확한방위,apparent bearing,
명확한조도,apparent candlepower,
피상용량,apparent capacity,
명확한밀도,apparent density,
명확한 방전량,apparent discharge magnitude,
명확한수평선,apparent horizon,
출력전력,apparent output power,
명확한투자율,apparent permeability,
피상전력,apparent power,皮相電力                                                                                                                                                                                                                                                           
피상전력손실,apparent power loss,
피상저항,apparent resistance,
애플게이트다이아그램,apple gate diagram,
애플관,Apple tube,
전기제품,appliance,
전기꽂이,appliance outlet,
응용계층,application layer,アプリケ?ション層                                                                                                                                                                                                                                                      
응용 프로그램,application program,?用プログラム                                                                                                                                                                                                                                                        
응용프로그램인터테이스,application programming interface,
실용위성,application satellite,
응용 소프트웨어,application software,アプリケ?ションソフトウェア                                                                                                                                                                                                                                                 
특정용도집적회로,application specific integrated circuit,
다목적위성,application technology satellite project,
애플리케이터,applicator,
고장보호,applied fault protection,
인가전압,applied voltage,
전압시험,applied-potential test,
진입경보회로,approach circuit,
진입관제레이더,approach control rader,
접근점등방식,approach lighting,
진입로,approach path,
진입신호기,approach signal,
근사치,approximate-value,
근사알고리즘,approximation algorithm,
에이프런,apron,
프로그램자동송출시스템,APS,
아라고 원판,Arago's disk,
아크음극,arc cathode,
아크슈트,arc chute,
아크변환기,arc converter,
아크방전,arc discharge,ア?ク放電                                                                                                                                                                                                                                                          
아크방전관,arc discharge tube,
아크 강하,arc drop,
아크강하전압,arc drop voltage,
소호제,arc extinguish medium,
아크로,arc furnace,ア?ク?                                                                                                                                                                                                                                                           
아크등,arc lamp,ア?クランプ                                                                                                                                                                                                                                                         
아크손,arc loss,
아크소거,arc quenching,
소호코일,arc suppressing coil,
아크통전,arc through,
아크용접,arc welding,ア?ク溶接                                                                                                                                                                                                                                                          
아크 강하손,arc-drop loss,
아치형 댐,arch dam,ア?チダム                                                                                                                                                                                                                                                          
건축 음향학,architectural acoustics,建築音響                                                                                                                                                                                                                                                           
아카이버,archiver,
아크접촉자,arcing contact,
아크혼,arcing horn,
아킹링,arcing ring,
아크시간,arcing time,
내아크성접점재료,arc-proof contact material,
지역번호,area code,
지역제오오차,area control error,
공역관제 레이더,area control radar,
면적효과,area effect,
면적유량계,area flowmeter,
지역 주파수 응답특성,area frequency-response characteristic,
2차원 영상센서,area image sensor,
지역이동표적표시기,area MTI,
안전동작영역,area of safe operation,
영역 탐색,area search,領域探索                                                                                                                                                                                                                                                           
지역보충제어,area supplementary control,
지역연계선,area tie line,
안테나빔폭,areal beamwidth,
아르곤,argon,アルゴン                                                                                                                                                                                                                                                           
아르곤 이온레이저,argon ion laser,
아르곤레이저,argon laser,
인수,argument,
근지점파라미터,argument of perigee,
산술 부호,arithmetic code,算術符?                                                                                                                                                                                                                                                           
산술거리,arithmetic distance,
산술 연산,arithmetic operation,算術演算                                                                                                                                                                                                                                                           
산술자리이동,arithmetic shift,
연산 장치,arithmetic unit,演算器                                                                                                                                                                                                                                                            
