한글,영어,일어
조합 급증,combinatorial explosion,組合せ的爆?                                                                                                                                                                                                                                                         
조합 이론,combinatorics,組合せ理論                                                                                                                                                                                                                                                          
연결된 엔티티 다이어그램,combined entity diagram,
결합 헤드,combined head,複合ヘッド                                                                                                                                                                                                                                                          
복합 국,combined station,複合局                                                                                                                                                                                                                                                            
콤마,comma,
명령,command,コマンド                                                                                                                                                                                                                                                           
지령 관리 시스템,command and control system,
연쇄 명령어,command chain,コマンド連鎖                                                                                                                                                                                                                                                         
명령 문자,command character,
명령 코드,command code,
명령 제어 프로그램,command control program,指令制御プログラム                                                                                                                                                                                                                                                      
명령 제어 시스템,command control system,コマンドコントロ?ルシステム                                                                                                                                                                                                                                                 
명령 프레임,command frame,
명령키,command key,コマンドキ?                                                                                                                                                                                                                                                         
명령 언어,command language,指令言語                                                                                                                                                                                                                                                           
커맨드 라이브러리,command library,
명령어 라인,command line,
명령어 라인 인터페이스,command line interface,
명령어 이름,command name,
명령 절차,command procedure,コマンドプロシ?ジャ                                                                                                                                                                                                                                                     
명령 처리,command processing,コマンド?理                                                                                                                                                                                                                                                         
명령 처리기,command processor,コマンドプロセッサ                                                                                                                                                                                                                                                      
명령 지시 메시지,command prompt,
명령 펄스,command pulse,コマンドパルス                                                                                                                                                                                                                                                        
명령 응답 메시지,command response message,コマンド?答メッセ?ジ                                                                                                                                                                                                                                                    
명령 재시행,command retry,コマンド再試行                                                                                                                                                                                                                                                        
명령 시퀀스,command sequence,
명령어 쉘,command shell,
명령문,command statement,
커맨드 시스템,command system,
MS-DOS 명령어 해석기,COMMAND.COM,
주석항,comment entry,
주석란,comment field,注?欄                                                                                                                                                                                                                                                            
주석 행,comment line,
주석문,comment statement,
광속 교역,Commerce At Light Speed,光速商取引                                                                                                                                                                                                                                                          
상업적 접근 공급자,Commercial Access Provider,
상업용 데이터 처리,commercial data processing,
상업용 인터넷 교환망,commercial Internet exchange,キックス                                                                                                                                                                                                                                                           
상업용 언어,commercial language,
상업용 믹스,commercial mix,コマ?シャルミックス                                                                                                                                                                                                                                                     
상업용 소프트웨어,commercial software,
상용 시험,commercial test,
커미트,commit,完遂                                                                                                                                                                                                                                                             
커미트 시점,commit point,
커미트먼트 제어,commitment control,コミットメント制御                                                                                                                                                                                                                                                      
트랜잭션 완료,committed transaction,
미국 연방 과학 기술 정보 위원회,Committee On Scientific and Technical Information,
커먼,COMMON,
공통 응용 환경,Common Application Environment,共通アプリケ?ション?行環境                                                                                                                                                                                                                                                 
공통 영역,common area,共通領域                                                                                                                                                                                                                                                           
공통 블록,common block,共通ブロック                                                                                                                                                                                                                                                         
공통 블록명,common block name,共通ブロック名                                                                                                                                                                                                                                                        
공통 버스,common bus,共通バス                                                                                                                                                                                                                                                           
코볼,common business oriented language,コボル                                                                                                                                                                                                                                                            
공중 전기 통신 사업자,common carrier,電信電話?社                                                                                                                                                                                                                                                         
공통선 신호 방식,common channel signaling system,
공통 채널형 규약,common channel type protocol,
공통 제어 방식,common control system,共通制御方式                                                                                                                                                                                                                                                         
공통 제어 장치,common control unit,
공통 맞물림,common coupling,共通結合                                                                                                                                                                                                                                                           
공통 필드,common field,
공통 게이트웨이 인터페이스,common gateway interface,
공통 키,common key,
공통 언어,common language,
상용 대수,common logarithm,常用??                                                                                                                                                                                                                                                           
공통 관리 정보 프로토콜,common management information protocol,
공통 관리 정보 서비스,common management information service,共通管理情報サ?ビス                                                                                                                                                                                                                                                     
공통 관리 정보 서비스 요소,common management information service element,
공통형 잡음,common mode noise,
동상 성분제거 방식,common mode rejection,同相分除去                                                                                                                                                                                                                                                          
동상 제거비,Common Mode Rejection Ratio,
동상 방식 전압,common mode voltage,同相電?                                                                                                                                                                                                                                                           
공통 이름,common name,
공통 개방형 소프트웨어 환경,Common Open Software Environment,共通オ?プンソフトウェア環境                                                                                                                                                                                                                                                 
공통 프로그램,common program,
공통 섹션,common section,
공통 세그먼트,common segment,共通セグメント                                                                                                                                                                                                                                                        
상식적 지식,common sense knowledge,
상식추론,common sense reasoning,
공통 소프트웨어,common software,共通ソフトウェア                                                                                                                                                                                                                                                       
COMMON 문,COMMON statement,
공통 기억 장소,common storage,
공통 기억 영역,common storage area,共通記憶領域                                                                                                                                                                                                                                                         
공통 부분식,common subexpression,
공통 서브루틴,common subroutine,
공통환경 맞물림,common-environment coupling,共通環境結合                                                                                                                                                                                                                                                         
전달성,communicability,
상호 통신 순차 프로세스계,communicating sequential processes,
통신,Communication,通信                                                                                                                                                                                                                                                             
통신 중단 계시기,communication abort timer,
통신 어댑터,communication adapter,通信アダプタ                                                                                                                                                                                                                                                         
통신 문의 방식,communication and inquiry system,
문서 처리기 통신,communication between word processors,
통신 버퍼,communication buffer,
통신 채널,communication channel,通信チャネル                                                                                                                                                                                                                                                         
통신 코드,communication code,
통신 제어 문자,communication control character,?送制御文字                                                                                                                                                                                                                                                         
통신 제어 처리 장치,communication control processor,通信制御?理?置                                                                                                                                                                                                                                                       
통신 제어 프로그램,communication control program,通信制御プログラム                                                                                                                                                                                                                                                      
통신 제어 시스템,communication control system,
통신 제어기,communication controller,通信制御?置                                                                                                                                                                                                                                                         
통신 데이터 장치,communication data set,
통신 데이터 방식,communication data system,
통신 밀도,communication density,
통신 장치,communication device,通信?置                                                                                                                                                                                                                                                           
통신 인터페이스,communication interface,通信インタフェ?ス                                                                                                                                                                                                                                                      
통신 인터페이스 접속기,communication interface adapter,
통신 인터페이스 장치,communication interface unit,
통신 회선 적재 방법,communication line bootstrap,
통신 암호 장치,communication line encryption device,回線暗??置                                                                                                                                                                                                                                                         
통신 회선군,communication line group,
통신 링크,communication link,通信リンク                                                                                                                                                                                                                                                          
통신 연결,communication linkage,
통신 관리,communication management,
통신 매체,communication medium,
통신 감시,communication monitor,通信用モニタ                                                                                                                                                                                                                                                         
통신 회선 다중 채널,communication multiplexer channel,通信回線マルチプレクサチャネル                                                                                                                                                                                                                                                
통신 경로,communication path,
통신 접속구,communication port,
통신 처리,communication processing,
통신 처리기,communication processor,通信用プロセッサ                                                                                                                                                                                                                                                       
통신 프로그램,communication program,
통신 프로토콜,communication protocol,交信プロトコル                                                                                                                                                                                                                                                        
통신 중복성,communication redundancy,
통신 위성,communication satellite,通信衛星                                                                                                                                                                                                                                                           
통신 주사 장치,communication scanner,
통신 서버,communication server,
통신관리소프트웨어,communication software,通信ソフトウェア                                                                                                                                                                                                                                                       
통신 서브시스템,communication subsystem,
통신 시스템,communication system,通信方式                                                                                                                                                                                                                                                           
통신 임무,communication task,通信タスク                                                                                                                                                                                                                                                          
통신 단말 장치,communication terminal equipment,通信端末機器                                                                                                                                                                                                                                                         
통신 이론,communication theory,通信理論                                                                                                                                                                                                                                                           
통신 응집,communicational cohesion,?話的結束性                                                                                                                                                                                                                                                         
통신 결함 감시,communications bug monitors,
유선 텔레비젼,community antenna television system,有線テレビ;ケ?ブルテレビ                                                                                                                                                                                                                                                  
콤팩트 디스크,compact disk,コンパクトディスク                                                                                                                                                                                                                                                      
콤팩트 디스크 작용,compact disk interactive,
시 디 롬,Compact Disk Read Only Memory,
영상 콤팩트 디스크,compact disk-video,
컴팩트 프로,Compact pro,
파일 레코드 압축,compaction of file record,
압축 기법,compaction technique,
치밀성,compactness,
압신기,compander,?伸器                                                                                                                                                                                                                                                            
압신,companding,
비교 검사,comparing check,
비교 연산자,comparing operator,
비교 장치,comparing unit,
비교,comparison,
컴파트,compart,
구획화,compartmentalization,仕切り                                                                                                                                                                                                                                                            
호환성 구조,compatibility feature,互換性機能                                                                                                                                                                                                                                                          
호환성 검사,compatibility test,
호환의,compatible,互換性のある                                                                                                                                                                                                                                                         
컴패티블 집적 회로,compatible integrated circuit,
호환기,compatible machine,
호환성 모드,compatible mode,
호환형,compatible type,
보상 회로,compensating circuit,
보상 회로망,compensating network,
보상 권선,compensating winding,
보상,compensation,
보상기,compensator,補償裝置                                                                                                                                                                                                                                                           
경합형 결합,competitive connection,
경쟁적 설계,competitive design,
경쟁 학습,competitive learning,競??習                                                                                                                                                                                                                                                           
컴파일 단위,compilation unit,コンパイル?位                                                                                                                                                                                                                                                        
컴파일 실행,compile and go,コンパイルアンドゴ?                                                                                                                                                                                                                                                     
컴파일 후 실행 적재기,compile and go loader,
번역 시간식,compile time expression,
번역시 기능,compile time facility,
번역시문,compile time statement,
번역시 변수,compile time variable,
편역하고_실행하기,compile-and-go,コンパイル??行                                                                                                                                                                                                                                                       
편역된 지식,compiled knowledge,コンパイルされた知識                                                                                                                                                                                                                                                     
컴파일러형 언어,compiled language,コンパイラ型言語                                                                                                                                                                                                                                                       
컴파일러,compiler,コンパイラ                                                                                                                                                                                                                                                          
컴파일러 코드,compiler code,コンパイラコ?ド                                                                                                                                                                                                                                                       
컴파일러 컴파일러,compiler compiler,コンパイラコンパイラ                                                                                                                                                                                                                                                     
컴파일러 진단,compiler diagnostics,
컴파일러 지시문,compiler directive,コンパイラ指示文                                                                                                                                                                                                                                                       
컴파일러 생성기,compiler generator,コンパイラ生成系                                                                                                                                                                                                                                                       
컴파일러 언어,compiler language,コンパイラ言語                                                                                                                                                                                                                                                        
컴파일러 옵션,compiler option,コンパイラオプション                                                                                                                                                                                                                                                     
컴파일러 프로그램,compiler program,
컴파일러 명세 언어,compiler specification language,コンパイラ仕?言語                                                                                                                                                                                                                                                      
컴파일 프로그램,compiling program,
보수,complement,補?                                                                                                                                                                                                                                                             
보수 어큐뮬레이터,Complement Accumulator,
보수 기저,complement base,
보수 명령어,complement instruction,
상보형 회로,complementary circuit,
시모스,complementary metal oxide semiconductor,相補形金?酸化膜半導?                                                                                                                                                                                                                                                    
보수 연산,complementary operation,相補演算                                                                                                                                                                                                                                                           
보수 연산자,complementary operator,相補演算子                                                                                                                                                                                                                                                          
상보 트랜지스터 논리,Complementary Transistor Logic,
보수처리기,complementer,補?器                                                                                                                                                                                                                                                            
보수 플립플롭,complementing flip-flop,
보수기,complementor,
완전,complete,完全な                                                                                                                                                                                                                                                            
완전 자리올림,complete carry,全けた上げ                                                                                                                                                                                                                                                          
완전 일반화,complete generalization,完全な一般化                                                                                                                                                                                                                                                         
완전 키,complete key,
완전 루틴,complete routine,
완전 집합,complete set,完全セット                                                                                                                                                                                                                                                          
완전 트리,complete tree,完全木                                                                                                                                                                                                                                                            
완료된,completed,
완전 종합 데이터 처리,completely EDP,
완전성,completeness,
결함 검사,completeness check,欠落?査                                                                                                                                                                                                                                                           
종료 코드,completion code,完了コ?ド                                                                                                                                                                                                                                                          
종료값,completion value,完了値                                                                                                                                                                                                                                                            
복잡한,complex,
완전전도도,complex admittance,
복소수 상수,complex constant,
복소 임피던스,complex impedance,
복잡 명령 집합 컴퓨터,complex instruction set computer,複?命令セットコンピュ?タ                                                                                                                                                                                                                                                  
복소 수,complex number,複素?                                                                                                                                                                                                                                                            
복소수형,complex type,
복소수값,complex value,
복잡도,complexity,複?性                                                                                                                                                                                                                                                            
복잡도 척도,complexity measure,
계산의 복잡성,complexity of calculation,
구성요소,component,コンポ?ネント                                                                                                                                                                                                                                                        
부품면,component side,
컴포넌트 형,component type,コンポ?ネントタイプ                                                                                                                                                                                                                                                     
화상 합성,compose,
복합 속성,composite attribute,
조합 카드,composite card,合成カ?ド                                                                                                                                                                                                                                                          
복합 색 신호,composite color signal,
복합 콘솔,composite console,複合コンソ?ル                                                                                                                                                                                                                                                        
복합 데이터,composite data,
복합 데이터 구조,composite data structure,
복합 설계,composite design,複合設計                                                                                                                                                                                                                                                           
복합 표시 장치,composite display,コンポジットディスプレイ                                                                                                                                                                                                                                                   
합성 함수,composite function,
복합망,composite network,
복합 신호,composite signal,コンポジット信?                                                                                                                                                                                                                                                       
합성 자료형,composite type,合成型                                                                                                                                                                                                                                                            
구성 오류,composition error,
복합 명령,compound command,複合コマンド                                                                                                                                                                                                                                                         
복합형 결합,compound connection,
혼합명제,compound proposition,
복합 재배치 가능 표현식,compound relocatable expression,
화합물 반도체,compound semiconductor,
복합 문,compound statement,複合文                                                                                                                                                                                                                                                            
압축 데이터 항목,compressed data item,
압축 형식,compressed format,
압축 슬립,compressed SLIP,
압축 코드,compression code,
압축 비율,compression ratio,?縮比                                                                                                                                                                                                                                                            
압축 유틸리티,compression utility,
압축기,compressor,?縮器                                                                                                                                                                                                                                                            
위태로움,compromise,傷つけ                                                                                                                                                                                                                                                            
의심초래 발산,compromising emanation,危??散                                                                                                                                                                                                                                                           
컴퓨니케이션,compunication,
컴퓨서브,Compuserve,コンピュサ?ブ                                                                                                                                                                                                                                                        
컴퓨서브 정보 관리자,Compuserve Information Manager,
컴퓨서브 정보 시스템,CompuServe Information System,
계산 가능성,computability,計算可能性                                                                                                                                                                                                                                                          
계산할 수 있는 수,computable number,
계산 복잡도,computational complexity,計算量                                                                                                                                                                                                                                                            
계산 기하학,computational geometry,
계산 언어학,computational linguistics,計算言語?                                                                                                                                                                                                                                                          
계산 물리학,computational physics,
계산 방식,compute mode,演算モ?ド                                                                                                                                                                                                                                                          
계산형 분기,computed branch,
컴퓨터,computer,コンピュ?タ                                                                                                                                                                                                                                                         
컴퓨터 오용,computer abuse,コンピュ?タ?用                                                                                                                                                                                                                                                       
컴퓨터 이용 설계 제도,computer aided design and drafting,
컴퓨터 이용 소프트웨어 공학,computer aided software engineering,
컴퓨터 알레르기,computer allergy,
컴퓨터와 팩스 접속 장치,computer and facsimile communicator,
컴퓨터 애니메이션,computer animation,コンピュ?タアニメ?ション                                                                                                                                                                                                                                                  
컴퓨터 미술,computer art,コンピュ?タア?ト                                                                                                                                                                                                                                                      
컴퓨터 예술가,computer artist,
컴퓨터 이용 관리,computer assisted management,
컴퓨터 작도법,computer cartography,
컴퓨터 센터,computer center,計算機センタ                                                                                                                                                                                                                                                         
컴퓨터 코드,computer code,
이기종 컴퓨터간 통신,computer communication between different kinds of systems,
컴퓨터 간 통신 표준 규약,computer communication network protocol,
복합 컴퓨터,computer complex,コンピュ?タコンプレックス                                                                                                                                                                                                                                                  
컴퓨터 회의,computer conference,コンピュ?タ?議                                                                                                                                                                                                                                                       
컴퓨터 회의열기,computer conferencing,コンピュ?タ?議                                                                                                                                                                                                                                                       
컴퓨터 콘솔,computer console,
